lon_dd,lat_dd,station,operation,optime,xobtime,type,transit_speed,dist_to_next,transit_time,arrival_time,departure_time,depth
-60.8,45.96,Iona,Mob,0,0,transit,9,4.38,0.5,start,6/6/2025 8:00,3
-60.7228,46.0094,NorthBasin1,CTDNiskin,0.5,0,operations,9,4.64,0.5,6/6/2025 8:29,6/6/2025 8:59,-48
-60.7283,46.0866,Baddeck,rest,0,0,transit,9,3.43,0.4,6/6/2025 9:30,6/6/2025 9:30,-10
-60.8066,46.0694,Nianza,CTDNiskin,0.5,0,operations,9,3.43,0.4,6/6/2025 9:53,6/6/2025 10:23,-1
-60.7283,46.0866,Baddeck,rest,0.5,0,transit,9,2.34,0.3,6/6/2025 10:45,6/6/2025 11:15,-10
-60.6747,46.098,GreatBdOL1,CTDNiskin,0.5,0,operations,9,2.93,0.3,6/6/2025 11:31,6/6/2025 12:01,6
-60.6198,46.1285,GreadBdOL2,CTD ,0.33,0,operations,9,3.37,0.4,6/6/2025 12:21,6/6/2025 12:40,11
-60.569,46.1722,GreadBdOL3,CTDNiskin,0.5,0,operations,9,3.29,0.4,6/6/2025 13:03,6/6/2025 13:33,92
-60.5182,46.2141,GreatBdOL4,CTD ,0.33,0,operations,9,3.44,0.4,6/6/2025 13:55,6/6/2025 14:15,37
-60.4646,46.2577,GreatBdOL5,CTDNiskin,0.5,0,operations,9,3.44,0.4,6/6/2025 14:37,6/6/2025 15:07,57
-60.5182,46.2141,GreatBdOL4,transit,0,0,transit,9,3.29,0.4,6/6/2025 15:30,6/6/2025 15:30,37
-60.569,46.1722,GreadBdOL3,transit,0,0,transit,9,3.37,0.4,6/6/2025 15:52,6/6/2025 15:52,92
-60.6198,46.1285,GreadBdOL2,transit,0,0,transit,9,2.93,0.3,6/6/2025 16:15,6/6/2025 16:15,11
-60.6747,46.098,GreatBdOL1,transit,0,0,transit,9,9.8,1.1,6/6/2025 16:34,6/6/2025 16:34,6
-60.8,45.96,Iona,Rest,12.5,0,transit,9,8.56,1,6/6/2025 17:40,6/7/2025 6:10,3
-60.6418,46.0504,StAndrew1,CTDNiskin,0.5,0,operations,9,4.46,0.5,6/7/2025 7:07,6/7/2025 7:37,-35
-60.5566,46.0951,StAndrew2,CTD ,0.33,0,operations,9,2.67,0.3,6/7/2025 8:06,6/7/2025 8:26,-118
-60.5113,46.1266,StAndrew3,CTDNiskin,0.5,0,operations,9,3.68,0.4,6/7/2025 8:44,6/7/2025 9:14,-108
-60.4482,46.1694,StAndrew4,CTD ,0.33,0,operations,9,2.71,0.3,6/7/2025 9:39,6/7/2025 9:58,-131
-60.4152,46.2083,StAndrew5,CTDNiskin,0.5,0,operations,9,1.8,0.2,6/7/2025 10:16,6/7/2025 10:46,-15
-60.3754,46.2198,StAndrew6,CTD ,0.33,0,operations,9,4.28,0.5,6/7/2025 10:58,6/7/2025 11:18,-23
-60.4482,46.1694,StAndrew4,transit,0,0,operations,9,10.79,1.2,6/7/2025 11:47,6/7/2025 11:47,-131
-60.6418,46.0504,StAndrew1,transit,0,0,operations,9,7.8,0.9,6/7/2025 12:59,6/7/2025 12:59,-35
-60.7887,45.9702,LittleNarrow2,CTD+Nisking ,0.5,0,operations,9,1.3,0.1,6/7/2025 13:51,6/7/2025 14:21,-9
-60.8,45.95,LittleNarrow1,CTD+Niskin ,0.5,0,operations,9,4.2,0.5,6/7/2025 14:29,6/7/2025 14:59,8
-60.87,45.9,BdOL3,CTD+Niskin ,0.5,0,operations,9,3.9,0.4,6/7/2025 15:27,6/7/2025 15:57,-15
-60.777,45.901667,BdOL2,CTD ,0.33,0,operations,9,2.71,0.3,6/7/2025 16:23,6/7/2025 16:43,-15
-60.8313,45.9263,LittleNarrow1,transit ,0,0,transit,9,2.41,0.3,6/7/2025 17:01,6/7/2025 17:01,-13
-60.8,45.96,Iona,Mob,13,0,transit,9,6.84,0.8,6/7/2025 17:17,6/8/2025 6:17,3
-60.7159,45.8623,BdOL1+Niskin,CTD ,0.5,0,operations,9,3.91,0.4,6/8/2025 7:03,6/8/2025 7:33,-24
-60.6335,45.8929,EastBay1,CTD ,0.33,0,operations,9,3.33,0.4,6/8/2025 7:59,6/8/2025 8:19,-19
-60.5663,45.9225,EastBay2,CTD+Niskin ,0.5,0,operations,9,3.31,0.4,6/8/2025 8:41,6/8/2025 9:11,-10
-60.5045,45.9569,EastBay3,CTD ,0.33,0,operations,9,14.69,1.6,6/8/2025 9:33,6/8/2025 9:53,10
-60.808,45.8345,AZMPDeep,CTD+Niskin ,0.5,0,operations,9,9.98,1.1,6/8/2025 11:31,6/8/2025 12:01,-68
-61.0249,45.7666,WestBay2,CTD ,0.33,0,operations,9,5.36,0.6,6/8/2025 13:07,6/8/2025 13:27,-31
-60.911,45.8068,WestBay3,CTD+Niskin ,0.5,0,operations,9,3.54,0.4,6/8/2025 14:03,6/8/2025 14:33,-26
