"FID","collectioncode","seriescode","ocean","station_name","station_type","stationstatus","locality","model","instrumenttype","deploy_date","last_download","recovery_date","downloads","off_set","year","array","lon","lat","depth"
"stations_receivers.fid-37ac1afd_18debe9988b_6f20","SABMPA","DFOCanada","NW ATLANTIC","2021_044","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-58.80698,46.09175,149.7
"stations_receivers.fid-37ac1afd_18debe9988b_704b","SABMPA","DFOCanada","NW ATLANTIC","N114","Transceiver","active",NA,"VR2AR","Transceiver",2018-06-10,"2019-08-07","2019-08-07","1",0,2018,"2015-2020",-59.11822,46.2114,124.8
"stations_receivers.fid-37ac1afd_18debe9988b_70d1","SABMPA","DFOCanada","NW ATLANTIC","2021_002","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-59.32067,45.98769,83.6
"stations_receivers.fid-37ac1afd_18debe9988b_72b9","SABMPA","DFOCanada","NW ATLANTIC","2021_034","Transceiver","active",NA,"VR2AR","Transceiver",2022-08-06,"2023-08-16","2023-08-16","1",0,2022,"2020-2024",-58.91758,46.04268,132.8
"stations_receivers.fid-37ac1afd_18debe9988b_7356","SABMPA","DFOCanada","NW ATLANTIC","S101","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","3",74.4,2020,"2015-2020",-59.09836,46.02183,94.4
"stations_receivers.fid-37ac1afd_18debe9988b_7542","SABMPA","DFOCanada","NW ATLANTIC","2021_006","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-59.26683,45.98781,65.5
"stations_receivers.fid-37ac1afd_18debe9988b_761f","SABMPA","DFOCanada","NW ATLANTIC","2021_031","Transceiver","active",NA,"VR2AR","Transceiver",2023-08-16,NA,NA,NA,35.8,2023,"2020-2024",-58.95052,46.02784,148.9
"stations_receivers.fid-37ac1afd_18debe9988b_76f4","SABMPA","DFOCanada","NW ATLANTIC","2021_014","Transceiver","active",NA,"VR2AR","Transceiver",2023-08-16,NA,NA,NA,72,2023,"2020-2024",-59.15853,45.988,57.4
"stations_receivers.fid-37ac1afd_18debe9988b_7717","SABMPA","DFOCanada","NW ATLANTIC","S119","Transceiver","active",NA,"VR2AR","Transceiver",2018-06-10,"2019-08-07","2019-08-07","1",0,2018,"2015-2020",-58.8648,46.02167,116.5
"stations_receivers.fid-37ac1afd_18debe9988b_78b7","SABMPA","DFOCanada","NW ATLANTIC","N122","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","3",11.6,2020,"2015-2020",-59.02358,46.24223,131.6
"stations_receivers.fid-37ac1afd_18debe9988b_7957","SABMPA","DFOCanada","NW ATLANTIC","2021_013","Transceiver","active",NA,"VR2AR","Transceiver",2023-08-16,NA,NA,NA,69.6,2023,"2020-2024",-59.17136,45.98797,59.9
"stations_receivers.fid-37ac1afd_18debe9988b_7980","SABMPA","DFOCanada","NW ATLANTIC","2021_012","Transceiver","active",NA,"VR2AR","Transceiver",2023-08-16,NA,NA,NA,30.4,2023,"2020-2024",-59.1857,45.98796,39.1
"stations_receivers.fid-37ac1afd_18debe9988b_7981","SABMPA","DFOCanada","NW ATLANTIC","S120","Transceiver","active",NA,"VR2AR","Transceiver",2018-06-10,"2018-06-10","2019-08-07","1",0,2018,"2015-2020",-58.85219,46.02151,125.1
"stations_receivers.fid-37ac1afd_18debe9988b_7a81","SABMPA","DFOCanada","NW ATLANTIC","S111","Transceiver","active",NA,"VR2AR","Transceiver",2019-08-07,"2020-08-22","2020-08-22","1",4.8,2019,"2015-2020",-58.96889,46.02176,148.9
"stations_receivers.fid-37ac1afd_18debe9988b_7cc4","SABMPA","DFOCanada","NW ATLANTIC","2021_022","Transceiver","active",NA,"VR2AR","Transceiver",2023-08-16,NA,NA,NA,146.4,2023,"2020-2024",-59.05135,45.98806,111.8
"stations_receivers.fid-37ac1afd_18debe9988b_7cf7","SABMPA","DFOCanada","NW ATLANTIC","N101","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","3",32.3,2020,"2015-2020",-59.27147,46.161,72.5
"stations_receivers.fid-37ac1afd_18debe9988b_7d97","SABMPA","DFOCanada","NW ATLANTIC","N106","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","2",27.8,2020,"2015-2020",-59.21217,46.18099,75.6
"stations_receivers.fid-37ac1afd_18debe9988b_7f53","SABMPA","DFOCanada","NW ATLANTIC","2021_008","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-59.24017,45.98788,45.2
"stations_receivers.fid-37ac1afd_18debffd052_-7ffc","SABMPA","DFOCanada","NW ATLANTIC","S119","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","1",19.8,2020,"2015-2020",-58.8648,46.02167,116.5
"stations_receivers.fid-37ac1afd_18debffd052_-7f7a","SABMPA","DFOCanada","NW ATLANTIC","2021_035","Transceiver","active",NA,"VR2AR","Transceiver",2022-08-06,"2023-08-16","2023-08-16","1",0,2022,"2020-2024",-58.9063,46.04759,116
"stations_receivers.fid-37ac1afd_18debffd052_-7ed8","SABMPA","DFOCanada","NW ATLANTIC","2021_039","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-58.86194,46.06738,163.4
"stations_receivers.fid-37ac1afd_18debffd052_-7e33","SABMPA","DFOCanada","NW ATLANTIC","2021_019","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-59.09185,45.98798,104.1
"stations_receivers.fid-37ac1afd_18debffd052_-7d76","SABMPA","DFOCanada","NW ATLANTIC","2021_040","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-58.85094,46.07238,150.4
"stations_receivers.fid-37ac1afd_18debffd052_-7c46","SABMPA","DFOCanada","NW ATLANTIC","2021_022","Transceiver","active",NA,"VR2AR","Transceiver",2021-08-10,"2022-08-06","2022-08-06","1",0,2021,"2020-2024",-59.05135,45.98806,111.8
"stations_receivers.fid-37ac1afd_18debffd052_-7c2a","SABMPA","DFOCanada","NW ATLANTIC","N113","Transceiver","active",NA,"VR2AR","Transceiver",2018-06-10,"2019-08-07","2019-08-07","1",0,2018,"2015-2020",-59.12985,46.20791,115.9
"stations_receivers.fid-37ac1afd_18debffd052_-7b30","SABMPA","DFOCanada","NW ATLANTIC","2021_019","Transceiver","active",NA,"VR2AR","Transceiver",2022-08-06,"2023-08-16","2023-08-16","1",0,2022,"2020-2024",-59.09185,45.98798,104.1
"stations_receivers.fid-37ac1afd_18debffd052_-7adc","SABMPA","DFOCanada","NW ATLANTIC","S109","Transceiver","active",NA,"VR2AR","Transceiver",2019-08-07,"2020-08-22","2020-08-22","1",9.6,2019,"2015-2020",-58.99478,46.02182,120.1
"stations_receivers.fid-37ac1afd_18debffd052_-7ab7","SABMPA","DFOCanada","NW ATLANTIC","N117","Transceiver","active",NA,"VR2AR","Transceiver",2020-08-22,"2021-08-10","2021-08-10","2",18.1,2020,"2015-2020",-59.08268,46.22347,126.2
