,station,latitude,longitude,rei,rei_percent
1,N1,46.17633688,-59.22654088,0.021656773,2.165677278
2,N10,46.21089907,-59.12022512,0.007284174,0.72841744
3,N11,46.21182286,-59.11819835,0.002055379,0.205537944
4,N12,46.21057571,-59.12145965,0.007022546,0.702254643
5,N13,46.17196544,-59.23989588,0.012840475,1.284047487
6,N14,46.17369262,-59.23524715,0.006760237,0.676023656
7,N15,46.17407748,-59.23410512,0.00949745,0.94974505
8,N16,46.22335353,-59.08303818,0.013215846,1.321584627
9,N17,46.22508149,-59.07748414,0.002311268,0.231126767
10,N18,46.23073237,-59.0596827,0.003923842,0.392384179
11,N19,46.23420538,-59.04767908,0.002302412,0.230241224
12,N2,46.17788439,-59.22192439,0.016533382,1.653338189
13,N20,46.23794847,-59.03729115,0.002900154,0.290015388
14,N21,46.24204883,-59.02471676,0.011009073,1.100907269
15,N22,46.24522885,-59.01566049,0.000807568,0.080756763
16,N23,46.1645323,-59.26265143,0.003230271,0.323027051
17,N3,46.17868401,-59.217925,0.015878371,1.587837086
18,N4,46.18524152,-59.19959408,0.003529154,0.352915426
19,N5,46.19057483,-59.18264467,0.006098379,0.609837857
20,N6,46.19642652,-59.16519783,0.007272881,0.727288111
21,N7,46.20004568,-59.15403513,0.013213154,1.321315356
22,N8,46.20313949,-59.14370797,0.008831356,0.883135563
23,N9,46.20747313,-59.1315721,0.007894012,0.789401226
24,S1,46.02170517,-59.0452145,0.001942714,0.194271395
25,S10,46.02163063,-58.93404132,0.007683957,0.768395699
26,S11,46.02230694,-58.91882521,0.004372763,0.43727633
27,S12,46.02205264,-58.8976286,0.0173337,1.733369997
28,S13,46.02176963,-58.88726537,0.004237244,0.423724377
29,S14,46.02165434,-59.0963955,0.05816956,5.816955973
30,S15,46.02167013,-59.08211554,0.339251588,33.92515883
31,S16,46.02183847,-59.07141626,0.156116833,15.61168331
32,S17,46.02175366,-59.05874445,0.044464651,4.44646506
33,S18,46.02174264,-59.03480318,0.039610346,3.961034598
34,S19,46.02172939,-58.86468049,0.010371482,1.03714816
35,S2,46.02159316,-59.05380019,0.022429987,2.242998695
36,S20,46.02163581,-58.85187587,0.02274739,2.274739017
37,S21,46.02179647,-58.83956184,0.009992469,0.999246913
38,S22,46.02199094,-58.82609583,0.010440554,1.044055397
39,S23,46.02204908,-58.81299809,0.013239825,1.323982508
40,S3,46.02182124,-59.01101306,0.024474826,2.447482598
41,S4,46.02164757,-59.0246867,0.003116949,0.311694905
42,S5,46.02162762,-59.00065039,0.004905807,0.490580676
43,S6,46.02175447,-59.01396452,0.005561947,0.556194712
44,S7,46.02171441,-58.98313742,0.001925507,0.192550657
45,S8,46.02184568,-58.95548905,0.007354193,0.735419282
46,S9,46.02199262,-58.94688233,0.004187553,0.418755328
