,station,latitude,longitude,rei,rei_percent
1,2021_001,45.98766,-59.3335,0.030977795,3.097779461
2,2021_002,45.98769,-59.32067,0.012092491,1.209249122
3,2021_003,45.98773,-59.30733,0.029584019,2.958401866
4,2021_004,45.98776,-59.29401,0.049681369,4.968136872
5,2021_005,45.98778,-59.27967,0.093997449,9.399744935
6,2021_006,45.98781,-59.26683,0.03057315,3.057314998
7,2021_008,45.98788,-59.24017,0.007553366,0.755336647
8,2021_009,45.98785,-59.22519,0.019422942,1.942294234
9,2021_010,45.98789,-59.21236,0.018883416,1.888341616
10,2021_011,45.98792,-59.19902,0.026616625,2.661662469
11,2021_012,45.98796,-59.1857,0.002098157,0.209815735
12,2021_013,45.98797,-59.17136,0.010116116,1.01161158
13,2021_014,45.988,-59.15853,0.006609196,0.660919566
14,2021_016,45.98807,-59.13187,0.003956525,0.395652529
15,2021_017,45.98791,-59.11802,0.020636876,2.063687624
16,2021_018,45.98794,-59.10519,0.014971851,1.497185139
17,2021_019,45.98798,-59.09185,0.012169313,1.216931264
18,2021_020,45.98801,-59.07853,0.014027681,1.402768058
19,2021_021,45.98802,-59.06419,0.038081556,3.808155593
20,2021_022,45.98806,-59.05135,0.016050904,1.605090374
21,2021_023,45.98809,-59.03802,0.00554513,0.554513014
22,2021_024,45.99334,-59.02769,0.008092893,0.809289264
23,2021_025,45.99811,-59.01689,0.004855736,0.485573559
24,2021_026,46.00319,-59.00584,0.033090939,3.30909388
25,2021_027,46.00815,-58.99471,0.006744077,0.67440772
26,2021_028,46.01304,-58.98382,0.01834389,1.834388999
27,2021_029,46.01794,-58.97294,0.008992103,0.899210294
28,2021_030,46.02283,-58.96167,0.003956525,0.395652529
29,2021_031,46.02784,-58.95052,0.0017085,0.170849956
30,2021_032,46.03277,-58.93972,0.006474314,0.647431411
31,2021_033,46.03757,-58.92871,0.018733548,1.873354778
32,2021_034,46.04268,-58.91758,0.028055361,2.805536116
33,2021_035,46.04759,-58.9063,0.024818204,2.48182041
34,2021_036,46.05278,-58.89504,0.058448669,5.844866908
35,2021_037,46.05776,-58.88392,0.047658146,4.765814556
36,2021_038,46.06263,-58.87281,0.068414916,6.84149165
37,2021_039,46.06738,-58.86194,0.07688248,7.68824801
38,2021_040,46.07238,-58.85094,0.026706546,2.670654572
39,2021_041,46.07704,-58.84016,0.043611699,4.361169924
40,2021_042,46.08203,-58.82902,0.000694501,0.069450118
41,2021_043,46.08696,-58.81787,0.020636876,2.063687624
42,2021_044,46.09175,-58.80698,0.012948628,1.294862823
43,2021_045,46.09688,-58.79603,0.011539865,1.153986543
44,2021_046,46.10146,-58.78514,0.004945657,0.494565661
45,N1,46.17633688,-59.22654088,0.021656773,2.165677278
46,N10,46.21089907,-59.12022512,0.007284174,0.72841744
47,N11,46.21182286,-59.11819835,0.002055379,0.205537944
48,N12,46.21057571,-59.12145965,0.007022546,0.702254643
49,N13,46.17196544,-59.23989588,0.012840475,1.284047487
50,N14,46.17369262,-59.23524715,0.006760237,0.676023656
51,N15,46.17407748,-59.23410512,0.00949745,0.94974505
52,N16,46.22335353,-59.08303818,0.013215846,1.321584627
53,N17,46.22508149,-59.07748414,0.002311268,0.231126767
54,N18,46.23073237,-59.0596827,0.003923842,0.392384179
55,N19,46.23420538,-59.04767908,0.002302412,0.230241224
56,N2,46.17788439,-59.22192439,0.016533382,1.653338189
57,N20,46.23794847,-59.03729115,0.002900154,0.290015388
58,N21,46.24204883,-59.02471676,0.011009073,1.100907269
59,N22,46.24522885,-59.01566049,0.000807568,0.080756763
60,N23,46.1645323,-59.26265143,0.003230271,0.323027051
61,N3,46.17868401,-59.217925,0.015878371,1.587837086
62,N4,46.18524152,-59.19959408,0.003529154,0.352915426
63,N5,46.19057483,-59.18264467,0.006098379,0.609837857
64,N6,46.19642652,-59.16519783,0.007272881,0.727288111
65,N7,46.20004568,-59.15403513,0.013213154,1.321315356
66,N8,46.20313949,-59.14370797,0.008831356,0.883135563
67,N9,46.20747313,-59.1315721,0.007894012,0.789401226
68,S1,46.02170517,-59.0452145,0.001942714,0.194271395
69,S10,46.02163063,-58.93404132,0.007683957,0.768395699
70,S11,46.02230694,-58.91882521,0.004372763,0.43727633
71,S12,46.02205264,-58.8976286,0.0173337,1.733369997
72,S13,46.02176963,-58.88726537,0.004237244,0.423724377
73,S14,46.02165434,-59.0963955,0.05816956,5.816955973
74,S15,46.02167013,-59.08211554,0.339251588,33.92515883
75,S16,46.02183847,-59.07141626,0.156116833,15.61168331
76,S17,46.02175366,-59.05874445,0.044464651,4.44646506
77,S18,46.02174264,-59.03480318,0.039610346,3.961034598
78,S19,46.02172939,-58.86468049,0.010371482,1.03714816
79,S2,46.02159316,-59.05380019,0.022429987,2.242998695
80,S20,46.02163581,-58.85187587,0.02274739,2.274739017
81,S21,46.02179647,-58.83956184,0.009992469,0.999246913
82,S22,46.02199094,-58.82609583,0.010440554,1.044055397
83,S23,46.02204908,-58.81299809,0.013239825,1.323982508
84,S3,46.02182124,-59.01101306,0.024474826,2.447482598
85,S4,46.02164757,-59.0246867,0.003116949,0.311694905
86,S5,46.02162762,-59.00065039,0.004905807,0.490580676
87,S6,46.02175447,-59.01396452,0.005561947,0.556194712
88,S7,46.02171441,-58.98313742,0.001925507,0.192550657
89,S8,46.02184568,-58.95548905,0.007354193,0.735419282
90,S9,46.02199262,-58.94688233,0.004187553,0.418755328
