,common_name,Project_full,RELEASE_LOCATION,Detections,Individuals,mean_lat,mean_lon,min_lat,max_lat,min_lon,max_lon
1,American eel,BDLSPG - Apoqnmatulti'k - Bras D'Or Lake,"Amaguadee's Pond, Bras d'Or Lake, Cape Breton",7,1,45.916931,-60.653694,-,-,-,-
2,American eel,BDLSPG - Apoqnmatulti'k - Bras D'Or Lake,"Bras d'Or Lake, Cape Breton",31,1,45.933283,-60.62895,-,-,-,-
3,American eel,BDLSPG - Apoqnmatulti'k - Bras D'Or Lake,"Outside John Pauls Pond, Bras d'Or Lake, Cape Breton",16,1,45.933283,-60.62895,-,-,-,-
4,American eel,BQEEL - Bay of Quinte Eel Tracking,"Bay of Quinte, Lake Ontario",113,2,44.150834,-77.265379,-,-,-,-
5,Atlantic cod,SBICOD - Cod Movements in the Northern Gulf,"Strait of Belle Ils., Gulf of  St. Lawrence",24,1,51.194118,-57.233651,-,-,-,-
6,Atlantic cod,SGS - OTN Canada Sable Island Grey Seal Bioprobes,East Scotian Shelf,267,4,44.93382921,-60.92319326,44.5631,45.1665,-61.5324,-60.5342
7,Atlantic cod,SGS - OTN Canada Sable Island Grey Seal Bioprobes,Southern St.Anns Bank,14404,41,46.00986597,-59.15837278,45.9976,46.0371,-59.1953,-59.1462
8,Atlantic cod,"SPI - Shippagan, NB: Cod tagging",Southern Gulf of St. Lawrence,48,2,47.87189125,-64.03341875,47.854,47.9971,-64.0716,-64.028
9,Atlantic halibut,HALIBT - Acoustic Array and Halibut Tagging,Scotian Shelf,417,2,44.35412566,-59.0620377,44.3539,44.3686,-59.1055,-59.0615
10,Atlantic halibut,MEHAL - Maine Atlantic Halibut Tagging,"Gulf of Maine, USA",94,3,44.437627,-67.39565,-,-,-,-
11,Atlantic mackerel,V2LNASTI - Mackerel tracking in the Northwest Arm,"Halifax, NS",9,1,44.536689,-63.460551,-,-,-,-
13,Atlantic salmon,BDK - Overwinter Bras d’Or Atlantic salmon populations,"Bras d'Or Lakes, Cape Breton",378,2,46.079643,-60.908239,-,-,-,-
14,Atlantic salmon,ESRF - Atlantic Salmon Offshore Tracking Project,Cascapedia River,10,1,48.306,-65.9422,-,-,-,-
15,Atlantic salmon,ESRF - Atlantic Salmon Offshore Tracking Project,LaHave River,12,1,44.534224,-64.712359,-,-,-,-
16,Atlantic salmon,ESRF - Atlantic Salmon Offshore Tracking Project,LeHave,41,7,44.534401,-64.712414,-,-,-,-
17,Atlantic salmon,ESRF - Atlantic Salmon Offshore Tracking Project,Morell River,89,2,46.362398,-62.704283,-,-,-,-
