"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"1","GDL-WG-106_20191120-314399",1,1,2019-11-02 20:03:29,2019-11-02 20:03:29,46.02945,-59.16665,"SABMPA-MPA-SAB-0008"
"2","GDL-WG-106_20191120-314799",1,1,2019-11-02 20:05:25,2019-11-02 20:05:25,46.02947,-59.16495,"SABMPA-MPA-SAB-0008"
"3","GDL-WG-106_20191120-315130",1,1,2019-11-02 20:01:59,2019-11-02 20:01:59,46.02944,-59.16798,"SABMPA-MPA-SAB-0008"
"4","GDL-WG-106_20191120-315177",1,1,2019-11-02 19:59:42,2019-11-02 19:59:42,46.02942,-59.17,"SABMPA-MPA-SAB-0008"
"5","GDL-WG-72_201707-36432",1,1,2017-06-21 02:03:13,2017-06-21 02:03:13,46.03008,-59.1666,"SABMPA-MPA-SAB-0008"
"6","GDL-WG-72_201707-36571",1,1,2017-06-21 02:00:37,2017-06-21 02:00:37,46.03004,-59.169,"SABMPA-MPA-SAB-0008"
"7","GDL-WG-72_201707-37344",1,1,2017-06-21 02:03:50,2017-06-21 02:03:50,46.03009,-59.16604,"SABMPA-MPA-SAB-0008"
"8","GDL-WG-72_201707-37478",1,1,2017-06-21 02:01:14,2017-06-21 02:01:14,46.03005,-59.16842,"SABMPA-MPA-SAB-0008"
"9","GDL-WG-91_92_2018-40675",1,1,2018-10-30 00:03:13,2018-10-30 00:03:13,46.02588,-59.17616,"SABMPA-MPA-SAB-0008"
"10","GDL-WG-91_92_2018-40682",1,1,2018-10-30 00:10:40,2018-10-30 00:10:40,46.02602,-59.17336,"SABMPA-MPA-SAB-0008"
"11","GDL-WG-91_92_2018-40716",1,1,2018-10-30 00:16:10,2018-10-30 00:16:10,46.02639,-59.17161,"SABMPA-MPA-SAB-0008"
"12","GDL-WG-91_92_2018-40717",1,1,2018-10-30 00:07:11,2018-10-30 00:07:11,46.02583,-59.17452,"SABMPA-MPA-SAB-0008"
"13","GDL-WG-91_92_2018-40743",1,1,2018-10-30 00:08:42,2018-10-30 00:08:42,46.02589,-59.17399,"SABMPA-MPA-SAB-0008"
"14","V2LSCF-N8",1,2,2016-09-06 20:45:30,2016-09-06 20:51:14,46.2037,-59.14133,"SABMPA-MPA-SAB-0015"
"15","V2LSCF-S10",1,4,2016-09-05 07:11:36,2016-09-05 07:51:14,46.02152,-58.91731,"SABMPA-MPA-SAB-0015"
"16","V2LSCF-S11",1,3,2016-09-05 08:12:17,2016-09-05 08:19:47,46.02294,-58.90342,"SABMPA-MPA-SAB-0015"
"17","V2LSCF-S14",1,28,2016-06-29 21:45:32,2016-07-01 08:15:06,46.02165,-59.0985,"SABMPA-MPA-SAB-0015"
"18","V2LSCF-S15",1,48,2016-07-02 07:58:16,2016-07-17 10:01:42,46.02167,-59.08521,"SABMPA-MPA-SAB-0015"
"19","V2LSCF-S16",1,24,2016-07-17 10:47:08,2016-07-17 21:41:14,46.02184,-59.07274,"SABMPA-MPA-SAB-0015"
