"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"1","05",1,2,2024-11-16 05:31:45,2024-11-16 05:42:16,44.1489,-59.20215,"SABMPA-MPA-SAB-23-HIP-14-2023-11-26"
"2","07",1,6,2025-03-03 18:07:49,2025-03-03 18:37:54,44.16177,-59.17597,"SABMPA-MPA-SAB-23-HIP-01-2023-10-05"
"3","2021_001",8,782,2022-12-03 00:57:28,2024-06-24 00:44:50,45.9879296930943,-59.3335000000005,"SABMPA-1283879-2022-11-01 SABMPA-1283881-2022-11-01 SABMPA-1283884-2022-11-01 SABMPA-1283889-2022-11-01 SABMPA-1283890-2022-11-01 SABMPA-1283891-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"4","2021_003",7,3649,2022-11-08 21:04:31,2024-07-18 02:54:06,45.9882263030984,-59.3076952041688,"SABMPA-1283881-2022-11-01 SABMPA-1283883-2022-11-01 SABMPA-1283890-2022-11-01 SABMPA-1283891-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283911-2022-12-06 SABMPA-1283924-2022-12-05"
"5","2021_004",6,1199,2021-12-04 17:17:48,2024-07-17 07:43:22,45.9877510508761,-59.2940010508765,"SABMPA-1283881-2022-11-01 SABMPA-1283891-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283911-2022-12-06 SABMPA-2-2021-08-30"
"6","2021_005",7,279,2022-11-04 10:20:55,2024-06-24 16:00:36,45.9878783154121,-59.280569964158,"SABMPA-1283891-2022-11-01 SABMPA-1283892-2022-11-01 SABMPA-1283897-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283910-2022-12-06 SABMPA-MPA-SAB-23-HIP-02-2023-10-05"
"7","2021_006",11,1809,2022-11-18 22:10:39,2024-07-22 13:52:56,45.987969380872,-59.2663966832521,"SABMPA-1283892-2022-11-01 SABMPA-1283893-2022-11-01 SABMPA-1283897-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283905-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283907-2022-12-05 SABMPA-1283910-2022-12-06 SABMPA-1283924-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"8","2021_007",11,2581,2023-09-04 12:57:34,2024-07-12 02:14:24,45.9882999999982,-59.2537299999975,"SABMPA-1283881-2022-11-01 SABMPA-1283892-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283924-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-05-2023-10-06 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"9","2021_008",17,6693,2021-12-06 13:52:48,2024-08-17 12:41:42,45.9881496638251,-59.2401044061016,"SABMPA-1283891-2022-11-01 SABMPA-1283892-2022-11-01 SABMPA-1283893-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283903-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283905-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283911-2022-12-06 SABMPA-1283924-2022-12-05 SABMPA-1283925-2022-12-05 SABMPA-2-2021-08-30 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-05-2023-10-06 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"10","2021_009",16,21210,2022-11-11 04:35:29,2024-08-17 14:54:11,45.9883920282832,-59.2249768948581,"SABMPA-1283891-2022-11-01 SABMPA-1283892-2022-11-01 SABMPA-1283893-2022-11-01 SABMPA-1283894-2022-11-01 SABMPA-1283897-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283903-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283911-2022-12-06 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-03-2023-10-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"11","2021_010",9,15568,2022-11-11 06:01:13,2024-08-17 13:56:14,45.9880442201845,-59.2125316790814,"SABMPA-1283893-2022-11-01 SABMPA-1283894-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283911-2022-12-06 SABMPA-1283925-2022-12-05"
"12","2021_011",11,11536,2022-11-11 06:58:17,2024-08-10 13:19:23,45.9879933139699,-59.1989854993001,"SABMPA-1283893-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283907-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283911-2022-12-06 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-03-2023-10-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"13","2021_012",5,342,2023-04-22 12:17:56,2024-06-27 18:07:54,45.9881888011695,-59.1855535672514,"SABMPA-1283898-2022-11-01 SABMPA-1283908-2022-11-01 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-03-2023-10-05"
"14","2021_013",12,689,2022-11-06 10:00:25,2024-06-22 22:04:56,45.987732089986,-59.1705372278668,"SABMPA-1283881-2022-11-01 SABMPA-1283884-2022-11-01 SABMPA-1283892-2022-11-01 SABMPA-1283895-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283900-2022-11-01 SABMPA-1283903-2022-11-01 SABMPA-1283906-2022-12-05 SABMPA-1283908-2022-11-01 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06 SABMPA-MPA-SAB-23-HIP-07-2023-10-06"
