organismID,scientificName,commonName,dateLastModified,detectedBy,station,receiver,bottomDepth,tagName,sensorRaw,sensorType,sensorValue,sensorUnit,dateCollectedUTC,decimalLongitude,decimalLatitude,citation
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,2/20/2025,OTN.HFX,HFX002,250557,62,A69-9006-15084,25,pressure,12.7367,Meters,10/19/2024 22:13,-63.52662,44.47255,"Whoriskey, F., Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,2/20/2025,OTN.HFX,HFX002,250557,62,A69-9006-15083,166,temperature,21.0454,°C,10/19/2024 22:14,-63.52662,44.47255,"Whoriskey, F., Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,2/20/2025,OTN.HFX,HFX002,250557,62,A69-9006-15084,20,pressure,9.7042,Meters,10/19/2024 22:16,-63.52662,44.47255,"Whoriskey, F., Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,2/20/2025,OTN.HFX,HFX002,250557,62,A69-9006-15083,166,temperature,21.0454,°C,10/19/2024 22:18,-63.52662,44.47255,"Whoriskey, F., Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,2/20/2025,OTN.HFX,HFX002,250557,62,A69-9006-15084,17,pressure,7.8847,Meters,10/19/2024 22:20,-63.52662,44.47255,"Whoriskey, F., Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,6/25/2025,FACT.CMAST,CARIBSEA,553008,,A69-9006-15084,48,pressure,26.6862,Meters,11/5/2024 5:57,-76.31516,34.60719,"Gallagher, R.M., Krause, J.R., Buckel, J.A., 2020. Estimating survival and stock structure of cobia using telemetry and population genetics."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,6/25/2025,FACT.CMAST,CARIBSEA,553008,,A69-9006-15083,201,temperature,26.5369,°C,11/5/2024 5:58,-76.31516,34.60719,"Gallagher, R.M., Krause, J.R., Buckel, J.A., 2020. Estimating survival and stock structure of cobia using telemetry and population genetics."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,6/25/2025,FACT.CMAST,CARIBSEA,553008,,A69-9006-15084,57,pressure,32.1447,Meters,11/5/2024 6:00,-76.31516,34.60719,"Gallagher, R.M., Krause, J.R., Buckel, J.A., 2020. Estimating survival and stock structure of cobia using telemetry and population genetics."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,6/25/2025,FACT.CMAST,CARIBSEA,553008,,A69-9006-15084,52,pressure,29.1122,Meters,11/5/2024 6:04,-76.31516,34.60719,"Gallagher, R.M., Krause, J.R., Buckel, J.A., 2020. Estimating survival and stock structure of cobia using telemetry and population genetics."
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,10/21/2025,FACT.SCARE,CHS N7,123322,15.9,A69-9006-15084,39,pressure,21.2277,Meters,11/11/2024 14:41,-79.53703,32.70633,"Arendt, M. 2018. Temporal and spatial distribution patterns of managed marine species in South Carolina coastal waters. "
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,10/21/2025,FACT.SCARE,CHS N7,123322,15.9,A69-9006-15084,41,pressure,22.4407,Meters,11/11/2024 14:44,-79.53703,32.70633,"Arendt, M. 2018. Temporal and spatial distribution patterns of managed marine species in South Carolina coastal waters. "
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,10/21/2025,FACT.SCARE,CHS N7,123322,15.9,A69-9006-15083,202,temperature,26.6938,°C,11/11/2024 14:46,-79.53703,32.70633,"Arendt, M. 2018. Temporal and spatial distribution patterns of managed marine species in South Carolina coastal waters. "
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,10/21/2025,FACT.SCARE,CHS S2,123331,13.1,A69-9006-15083,204,temperature,27.0076,°C,11/12/2024 5:28,-79.92702,32.54962,"Arendt, M. 2018. Temporal and spatial distribution patterns of managed marine species in South Carolina coastal waters. "
SABMPA-1283925-2022-12-05,Hippoglossus hippoglossus,Atlantic halibut,10/21/2025,FACT.SCARE,CHS S2,123331,13.1,A69-9006-15084,33,pressure,17.5887,Meters,11/12/2024 5:30,-79.92702,32.54962,"Arendt, M. 2018. Temporal and spatial distribution patterns of managed marine species in South Carolina coastal waters. "
