Id,long,lat,depth
1,-59.33349826,45.98765961,83
2,-59.3206664,45.98769409,85
3,-59.30732731,45.98772719,81
4,-59.29400505,45.98776146,93
5,-59.27966579,45.98777623,73
6,-59.26683393,45.98781071,67
7,-59.25349485,45.98784381,59
8,-59.24017259,45.98787809,40
9,-59.22519144,45.98785369,33
10,-59.21235958,45.98788818,31
11,-59.1990205,45.98792129,35
12,-59.18569824,45.98795557,37
13,-59.17135898,45.98797034,57
14,-59.15852712,45.98800483,53
15,-59.14518804,45.98803793,55
16,-59.13186578,45.98807222,70
17,-59.11801847,45.9879082,95
18,-59.10518661,45.98794269,105
19,-59.09184753,45.9879758,107
20,-59.07852527,45.98801009,111
21,-59.06418601,45.98802486,115
22,-59.05135415,45.98805936,115
23,-59.03801507,45.98809247,121
24,-59.02768755,45.99333661,118
25,-59.01688965,45.99810903,120
26,-59.0058399,46.00318651,129
27,-58.99470959,46.00814619,134
28,-58.98381692,46.01304454,139
29,-58.97294352,46.01793909,148
30,-58.96167423,46.02283408,149
31,-58.9505177,46.02784465,147
32,-58.93972082,46.0327717,147
33,-58.92870642,46.03756646,139
34,-58.91758343,46.04268357,125
35,-58.90630143,46.04759187,116
36,-58.89504481,46.05278373,129
37,-58.88391595,46.05776214,146
38,-58.87281406,46.06263279,154
39,-58.8619432,46.0673775,156
40,-58.85094121,46.0723766,154
41,-58.84015763,46.07704119,152
42,-58.82901816,46.08203287,151
43,-58.8178707,46.08696242,144
44,-58.806982,46.09175045,146
45,-58.79602642,46.09688477,152
46,-58.7851447,46.10146201,154
47,-58.77392349,46.10632242,160
48,-58.76303188,46.1113374,173
49,-58.75192922,46.11623518,192
