station,lat,long
SB_01,46°0.5254729'N,59°19.2099814'W
SB_02,46°0.5177833'N,59°17.6202092'W
SB_03,46°0.5137318'N,59°16.0008551'W
SB_04,46°0.5096803'N,59°14.3815010'W
SB_05,46°0.5056288'N,59°12.7621469'W
SB_06,45°58.0874333'N,59°19.2382795'W
SB_07,45°58.0797380'N,59°17.6485073'W
SB_08,45°58.0756835'N,59°16.0291532'W
SB_09,45°58.0716290'N,59°14.4097991'W
SB_10,45°58.0675746'N,59°12.7904450'W
SB_11,45°56.8939769'N,59°19.2665776'W
SB_12,45°56.8862788'N,59°17.6768054'W
SB_13,45°56.8822229'N,59°16.0574513'W
SB_14,45°56.8781670'N,59°14.4380972'W
SB_15,45°56.8741111'N,59°12.8187431'W
CB_01,45°53.9470271'N,59°35.8520203'W
CB_02,45°53.4190024'N,59°35.1922994'W
CB_03,45°53.3922163'N,59°36.5300667'W
