FID,datelastmodified,institutioncode,collectioncode,datacenter_reference,catalognumber,scientificname,longitude,latitude,basisofrecord,datecollected,yearcollected,monthcollected,daycollected,timeofday,timezone,coordinateprecision,observedindividualcount,collector,julianday,locality,animal_origin,stock,sex,life_stage,age,age_units,weight,weight_units,length,length_type,length_units,vernacularname,aphiaid,tsn,authorityaccepted,kingdom,phylum,classname,ordername,family,genus,subgenus,species,subspecies,the_geom
animals.fid--28644f0b_19c77057946_-4243,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0019,Amblyraja radiata,-59.32011,45.99263,O,2018-04-24T00:34:00,2018,4,24,0.56666667,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,W,4Vn,F,,,,,,0.46,TOTAL LENGTH,m,thorny skate,105865,564149,"(Donovan, 1808)",Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,,radiata,,POINT (45.99263 -59.32011)
animals.fid--28644f0b_19c77057946_-4242,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0012,Anarhichas lupus,-59.19333,46.01516,O,2016-06-12T15:56:00,2016,6,12,15.93333333,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.57,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.01516 -59.19333)
animals.fid--28644f0b_19c77057946_-4241,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0015,Anarhichas lupus,-59.15628,46.00335,O,2016-06-12T19:21:00,2016,6,12,19.35,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.42,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.00335 -59.15628)
animals.fid--28644f0b_19c77057946_-4240,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0014,Anarhichas lupus,-59.15143,46.00328,O,2016-06-12T17:37:00,2016,6,12,17.61666667,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.45,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.00328 -59.15143)
animals.fid--28644f0b_19c77057946_-423f,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0003,Anarhichas lupus,-59.05045,45.98226,O,2016-06-11T13:49:00,2016,6,11,13.81666667,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.55,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (45.98226 -59.05045)
animals.fid--28644f0b_19c77057946_-423e,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0004,Anarhichas lupus,-59.11485,45.99226,O,2016-06-11T15:09:00,2016,6,11,15.15,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.52,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (45.99226 -59.11485)
animals.fid--28644f0b_19c77057946_-423d,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0005,Anarhichas lupus,-59.153,46.00416,O,2016-06-11T15:54:00,2016,6,11,15.9,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.5,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.00416 -59.153)
animals.fid--28644f0b_19c77057946_-423c,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0006,Anarhichas lupus,-59.16113,45.99868,O,2016-06-11T20:52:00,2016,6,11,20.86666667,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.5,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (45.99868 -59.16113)
animals.fid--28644f0b_19c77057946_-423b,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0011,Anarhichas lupus,-59.14621,46.00461,O,2016-06-12T15:25:00,2016,6,12,15.41666667,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.59,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.00461 -59.14621)
animals.fid--28644f0b_19c77057946_-423a,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0001,Anarhichas lupus,-59.0126,45.94486,O,2016-06-11T12:32:00,2016,6,11,12.53333333,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.6,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (45.94486 -59.0126)
