ANIMAL_ID,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_ACTIVATION_DATE,EST_TAG_LIFE,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,LENGTH_m,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,LOCATION,SPECIES,YEAR,FISH_NUM
SAB-HIP-21-1,V13TP,1283876,14985,A69-9006,2021-08-30,917,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.13,St. Anns Bank MPA,46.12233,-59.54,2021-08-30T16:00:00,SAB,HIP,21,1
SAB-HIP-21-2,V13TP,1283880,14993,A69-9006,2021-08-30,917,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.190,St. Anns Bank MPA,46.1263,-59.5463,2021-08-30T16:43:00,SAB,HIP,21,2
SAB-HIP-22-3,V13TP-1x,1283883,14999,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.330,St. Anns Bank MPA,46.18639,-59.57,2022-11-01T04:06:00,SAB,HIP,22,3
SAB-HIP-22-4,V13TP-1x,1283885,15003,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.660,St. Anns Bank MPA,45.94333,-59.46417,2022-11-01T04:07:00,SAB,HIP,22,4
SAB-HIP-22-5,V13TP-1x,1283881,14995,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.000,St. Anns Bank MPA,45.94278,-59.60639,2022-11-01T04:08:00,SAB,HIP,22,5
SAB-HIP-22-6,V13TP-1x,1283882,14997,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.360,St. Anns Bank MPA,46.17333,-59.64056,2022-11-01T04:09:00,SAB,HIP,22,6
SAB-HIP-22-7,V13TP-1x,1283879,14991,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.340,St. Anns Bank MPA,46.16056,-59.50167,2022-11-01T04:10:00,SAB,HIP,22,7
SAB-HIP-22-8,V13TP-1x,1283888,15009,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.410,St. Anns Bank MPA,46.14889,-59.47972,2022-11-01T04:11:00,SAB,HIP,22,8
SAB-HIP-22-9,V13TP-1x,1283884,15001,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.170,St. Anns Bank MPA,45.98472,-59.76306,2022-11-01T04:12:00,SAB,HIP,22,9
SAB-HIP-22-10,V13TP-1x,1283878,14989,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,0.915,St. Anns Bank MPA,45.98194,-59.76444,2022-11-01T04:13:00,SAB,HIP,22,10
SAB-HIP-22-11,V13TP-1x,1283877,14987,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,0.610,St. Anns Bank MPA,45.935,-59.70889,2022-11-01T04:14:00,SAB,HIP,22,11
SAB-HIP-22-12,V13TP-1x,1283895,15023,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.720,St. Anns Bank MPA,46.01222,-59.45528,2022-11-01T04:15:00,SAB,HIP,22,12
SAB-HIP-22-13,V13TP-1x,1283894,15021,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.750,St. Anns Bank MPA,46.00667,-59.47722,2022-11-01T04:16:00,SAB,HIP,22,13
SAB-HIP-22-14,V13TP-1x,1283890,15013,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.630,St. Anns Bank MPA,46.00583,-59.4925,2022-11-01T04:17:00,SAB,HIP,22,14
SAB-HIP-22-15,V13TP-1x,1283893,15019,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.310,St. Anns Bank MPA,46.00583,-59.49972,2022-11-01T04:18:00,SAB,HIP,22,15
SAB-HIP-22-16,V13TP-1x,1283891,15015,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.220,St. Anns Bank MPA,45.99472,-59.27,2022-11-01T04:19:00,SAB,HIP,22,16
SAB-HIP-22-17,V13TP-1x,1283892,15017,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.060,St. Anns Bank MPA,46.0225,-59.30972,2022-11-01T04:20:00,SAB,HIP,22,17
SAB-HIP-22-18,V13TP-1x,1283889,15011,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,1.100,St. Anns Bank MPA,45.94111,-59.66833,2022-11-01T04:21:00,SAB,HIP,22,18
SAB-HIP-22-19,V13TP-1x,1283887,15007,A69-9006,2022-11-01,530,Atlantic halibut,Hippoglossus hippoglossus,St. Anns Bank MPA,0.890,St. Anns Bank MPA,46.17417,-59.48667,2022-11-01T04:22:00,SAB,HIP,22,19
