"","V1","collectioncode","animal_id","scientificname","common_name_e","datelastmodified","detectedby","glatos_array","station","receiver_sn","bottom_depth","receiver_depth","transmitter_id","transmitter_codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","detection_timestamp_utc","timezone","deploy_long","deploy_lat","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_pi","contact_poc","min_lag","passed_filter"
"1",1,"SABMPA","SABMPA-MPA-SAB-0001","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57336","",NA,NA,"",NA,NA,2016-06-11 12:32:00,"UTC",-59.0126,45.94486,"0101000020E6100000FDF675E09C814DC037A6272CF1F84640",2016,6,11,163,12.5333333333333,"Southern St.Anns Bank","Fish slow to come arround","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0001-release-A69-1601-57336","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"2",2,"SABMPA","SABMPA-MPA-SAB-0002","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57335","",NA,NA,"",NA,NA,2016-06-11 12:58:00,"UTC",-59.01846,45.95511,"0101000020E61000005F24B4E55C824DC0910A630B41FA4640",2016,6,11,163,12.9666666666667,"Southern St.Anns Bank","Fish recovered more quickly when moved into warmer recovery tank","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0002-release-A69-1601-57335","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"3",3,"SABMPA","SABMPA-MPA-SAB-0003","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57327","",NA,NA,"",NA,NA,2016-06-11 13:49:00,"UTC",-59.05045,45.98226,"0101000020E6100000A60A462575864DC0A01518B2BAFD4640",2016,6,11,163,13.8166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0003-release-A69-1601-57327","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"4",4,"SABMPA","SABMPA-MPA-SAB-0004","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57328","",NA,NA,"",NA,NA,2016-06-11 15:09:00,"UTC",-59.11485,45.99226,"0101000020E610000009F9A067B38E4DC082902C6002FF4640",2016,6,11,163,15.15,"Southern St.Anns Bank","Great Recovery time, good shape","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0004-release-A69-1601-57328","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"5",5,"SABMPA","SABMPA-MPA-SAB-0005","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57329","",NA,NA,"",NA,NA,2016-06-11 15:54:00,"UTC",-59.153,46.00416,"0101000020E6100000DD24068195934DC0C6F99B5088004740",2016,6,11,163,15.9,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0005-release-A69-1601-57329","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"6",6,"SABMPA","SABMPA-MPA-SAB-0006","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57330","",NA,NA,"",NA,NA,2016-06-11 20:52:00,"UTC",-59.16113,45.99868,"0101000020E6100000C63368E89F944DC0AB9509BFD4FF4640",2016,6,11,163,20.8666666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0006-release-A69-1601-57330","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"7",7,"SABMPA","SABMPA-MPA-SAB-0007","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57331","",NA,NA,"",NA,NA,2016-06-11 21:27:00,"UTC",-59.16333,45.99683,"0101000020E6100000543A58FFE7944DC0FAD51C2098FF4640",2016,6,11,163,21.45,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0007-release-A69-1601-57331","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"8",8,"SABMPA","SABMPA-MPA-SAB-0008","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57332","",NA,NA,"",NA,NA,2016-06-12 10:26:00,"UTC",-59.14748,46.0108,"0101000020E61000003468E89FE0924DC0FE65F7E461014740",2016,6,12,164,10.4333333333333,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0008-release-A69-1601-57332","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"9",9,"SABMPA","SABMPA-MPA-SAB-0009","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57333","",NA,NA,"",NA,NA,2016-06-12 13:23:00,"UTC",-59.1794,46.02588,"0101000020E610000082734694F6964DC06CCF2C0950034740",2016,6,12,164,13.3833333333333,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0009-release-A69-1601-57333","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"10",10,"SABMPA","SABMPA-MPA-SAB-0010","Myoxocephalus scorpius","Shorthorn sculpin",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57334","",NA,NA,"",NA,NA,2016-06-12 14:50:00,"UTC",-59.1536,46.00565,"0101000020E61000003255302AA9934DC0789CA223B9004740",2016,6,12,164,14.8333333333333,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0010-release-A69-1601-57334","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
