,OTN_ARRAY,OTN_ARRAY_2,OTN_ARRAY_3,STATION_NO,STATION_NO2,DEPLOY_LAT,DEPLOY_LONG,DEPLOY_DATE_TIME_UTC,BOTTOM_DEPTH,INS_MODEL_NO,RECEIVER_SN,RECEIVER_TAG_ID,RECOVERED,RECOVER_DATE_TIME_UTC,YEAR_DEPLOYED,Assigned_c,geometry,
1,SABMPA,SAB_OLD,SAB_NORTH,N10,N10,46.21183,-59.11783,2015-05-11T00:00:00,NA,VR2AR,545780,A69-1601-60244,Y,2016-04-17T16:25:00,2015,A - Mud,c(-59.11783, 46.21183)
2,SABMPA,SAB_OLD,SAB_NORTH,N11,N11,46.21567,-59.10617,2015-05-11T00:00:00,NA,VR2AR,545768,A69-1601-60232,Y,2016-04-17T16:15:00,2015,A - Mud,c(-59.10617, 46.21567)
3,SABMPA,SAB_OLD,SAB_NORTH,N12,N12,46.2195,-59.09433,2015-05-11T00:00:00,NA,VR2AR,545772,A69-1601-60236,Y,2016-04-17T16:06:00,2015,A - Mud,c(-59.09433, 46.2195)
4,SABMPA,SAB_OLD,SAB_NORTH,N13,N13,46.22333,-59.08267,2015-05-11T00:00:00,NA,VR2AR,545779,A69-1601-60243,Y,2016-04-17T16:32:00,2015,A - Mud,c(-59.08267, 46.22333)
5,SABMPA,SAB_OLD,SAB_NORTH,N21,N21,46.2427133,-59.0237817,2016-04-17T15:31:45,NA,VR2AR,546072,A69-1601-60536,Y,2017-05-05T14:18:47,2016,A - Mud,c(-59.0237817, 46.2427133)
6,SABMPA,SAB_OLD,SAB_NORTH,N20,N20,46.2385067,-59.0359533,2016-04-17T15:36:19,NA,VR2AR,546078,A69-1601-60542,Y,2017-05-05T14:27:45,2016,A - Mud,c(-59.0359533, 46.2385067)
7,SABMPA,SAB_OLD,SAB_NORTH,N19,N19,46.2342133,-59.0474983,2016-04-17T15:40:12,NA,VR2AR,546079,A69-1601-60543,Y,2017-05-05T14:36:40,2016,A - Mud,c(-59.0474983, 46.2342133)
8,SABMPA,SAB_OLD,SAB_NORTH,N18,N18,46.2311183,-59.05933,2016-04-17T15:44:02,NA,VR2AR,546089,A69-1601-60553,Y,2017-05-05T14:47:12,2016,A - Mud,c(-59.05933, 46.2311183)
9,SABMPA,SAB_OLD,SAB_NORTH,N17,N17,46.22687,-59.0712533,2016-04-17T15:48:32,NA,VR2AR,546083,A69-1601-60547,Y,2017-05-05T14:56:12,2016,A - Mud,c(-59.0712533, 46.22687)
10,SABMPA,SAB_OLD,SAB_NORTH,N16,N16,46.2236,-59.0823217,2016-04-17T15:52:07,NA,VR2AR,546080,A69-1601-60544,Y,2017-05-05T15:04:28,2016,A - Mud,c(-59.0823217, 46.2236)
