"ANIMAL_ID   (floy tag ID, pit tag code, etc.)",TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_IMPLANT_METHOD,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH (m),WEIGHT (kg),LENGTH_TYPE,LENGTH2 (m),LENGTH2_TYPE,LIFE_STAGE,AGE,AGE_UNITS,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,HARVEST_DATE,CAPTURE_DEPTH (m),TEMPERATURE_CHANGE (degrees C),HOLDING_TEMPERATURE (degrees C),PREOP_HOLD_PERIOD,POSTOP_HOLD_PERIOD,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION (ppm),ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION (ppm),BUFFER_CONCENTRATION_IN_ANAESTHETIC (ppm),ANAESTHETIC_CONCENTRATION_IN_RECIRCULATION (ppm),BUFFER_CONCENTRATION_IN_RECIRCULATION (ppm),DISSOLVED_OXYGEN (ppm),COMMENTS,FLOY_1,FLOY_2,Sample_vial_num_DNA,Sample_vial_num_SIA,Sales_order,set_no
MPA-SAB-25-HIP-01,Acoustic,INNOVASEA,V13T,1596035,3629,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1304,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.72,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.192,-58.9265,2025-04-24T16:42:00,NA,,,,,,,,,,,,,,,,,,,,ST21476,NA,1,1,38544,1
MPA-SAB-25-HIP-02,Acoustic,INNOVASEA,V13T,1596036,3630,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1304,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.7,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.19,-58.92233,2025-04-24T16:50:00,NA,,,,,,,,,,,,,,,,,,,,ST21477,NA,2,2,38544,1
MPA-SAB-25-MOR-01,Acoustic,INNOVASEA,V13T,1596037,3631,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1304,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.56,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.19,-58.91817,2025-04-24T17:06:00,NA,,,,,,,,,,,,,,,,,,,,151,NA,4,4,38544,1
MPA-SAB-25-HIP-03,Acoustic,INNOVASEA,V16,1553592,53819,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.94,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1875,-58.9195,2025-04-24T17:00:00,NA,,,,,,,,,,,,,,,,,,,,ST21481,NA,3,3,35846,1
MPA-SAB-25-MOR-02,Acoustic,INNOVASEA,V13T,1619599,9706,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.71,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.161,-58.87833,2025-04-24T16:29:00,NA,,,,,,,,,,,,,,,,,,,,152,NA,5,5,40251,1
MPA-SAB-25-HIP-04,Acoustic,INNOVASEA,V16,1553591,53818,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.38,,FORK,,,ADULT,U,NA,U,N,ETHANOL,,ST. ANNS BANK MPA,46.182,-58.91517,2025-04-24T17:23:00,NA,,,,,,,,,,,,,,,,,,,,ST21484,ST21485,NA,NA,35846,1
MPA-SAB-25-HIP-05,Acoustic,INNOVASEA,V13T,1619598,9705,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.75,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1785,-58.91317,2025-04-24T17:32:00,NA,,,,,,,,,,,,,,,,,,,,ST21498,ST21500,6,6,40251,1
MPA-SAB-25-MOR-03,Acoustic,INNOVASEA,V13T,1619587,9694,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.55,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1585,-58.874,2025-04-24T18:15:00,NA,,,,,,,,,,,,,,,,,,,,153,NA,7,7,40251,2
MPA-SAB-25-HIP-06,Acoustic,INNOVASEA,V16,1553590,53817,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.2,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16217,-58.882,2025-04-24T18:18:00,NA,,,,,,,,,,,,,,,,,,,,ST1150,ST1149,8,8,35846,2
MPA-SAB-25-MOR-04,Acoustic,INNOVASEA,V13T,1619586,9693,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.64,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.15267,-58.872,2025-04-24T19:09:00,NA,,,,,,,,,,,,,,,,,,,,154,NA,14,14,40251,2
