Transect,Date,Time,event_ID,Latitude,Longitude,Pectinariidae,Terebellidae,Chone infundibuliformis,Myxicola,Pseudopotamilla reniformis,Sabellidae 1,Sabellidae 2,Sabellidae 3,Spirorbini,Serpulidae 1,Serpulidae 2,Syllidae,Polynoidae 1,Polynoidae 2,Balanidae,Caprellinae,Chionoecetes opilio,Hyas,Pagurus,Crangonidae ,Pandalidae,Thoridae,Caridea ,Peracarida,Mysidae,Nymphon,Hemithiris psittacea,Terebratulina septentrionalis,Buguloidea,Caberea ellisii,Celleporina,Cystisella saccata,Dendrobeania,Flustra foliacea,Membranipora membranacea ,Securiflustra securifrons,Smittinoidea,Crisia,Exidmonea,Hornera,Infundibulipora lucernaria,Bryozoa 1,Bryozoa 2,Bryozoa 3,Bryozoa 4,Gadus morhua,Gadus,Merluccius bilinearis,Glyptocephalus cynoglossus,Hippoglossoides platessoides,Zoarcoidei,Anarhichas lupus,Artediellus,Icelus,Myoxocephalus scorpius,Triglops murrayi,Agonidae,Eumicrotremus terraenovae,Lumpenus lampretaeformis,Sebastes,Tautogolabrus adspersus,Amblyraja radiata,Aplidium glabrum,Aplidium pallidum,Didemnidae,Ascidia callosa,Boltenia echinata,Boltenia ovifera,Botrylloides,Cnemidocarpa finmarkiensis,Molgula,Ascidiacea 1,Ascidiacea 2,Ascidiacea 3,Ascidiacea 4,Lucernaria quadricornis,Actinoidea 1,Actinoidea 2,Edwardsiidae,Halcampa,Hormathia,Hormathia nodosa,Metridium senile,Ptychodactis patula,Stomphia coccinea 1,Stomphia coccinea 2,Actiniaria 1,Actiniaria 2,Actiniaria 3,Actiniaria 4,Actiniaria 5,Ceriantharia,Clavularia,Malacalcyonacea,Octocorallia,Abietinaria,Sertulariidae ,Aglaopheniidae,Obelia,Thuiaria thuja,Leptothecata 1,Leptothecata 2,Corymorpha pendula,Tubulariidae,Hydrozoa  1,Hydrozoa 2,Hydrozoa 3,Ctenophora,Asteriidae,Stephanasterias albula,Crossaster papposus,Solaster,Henricia,Leptasterias (Hexasterias) polaris,Pteraster,Heliometra glacialis,Echinarachnius parma,Strongylocentrotus ,Cucumaria frondosa,Psolus phantapus,Gorgonocephalus arcticus,Ophiacantha bidentata,Ophiopholis aculeata,Ophiura sarsii,Ophiuridea 1,Ophiuridea 2,Agarum clathratum,Alaria esculenta,Saccharina latissima,Laminaria,Desmarestia,Astarte,Cyclocardia borealis,Chlamys islandica,Crassostrea virginica,Dosinia,Modiolus modiolus,Nuculana,Yoldiidae,Panomya norvegica,Bivalvia 1,Bivalvia 2,Arrhoges occidentalis,Boreotrophon clathratus,Buccinum undatum,Aulacofusus brevicauda,Neptunea decemcostata,Mangeliidae,Epitoniidae,Turritellidae,Margarites 1,Margarites 2,Testudinalia testudinalis,Cadlina laevis,Coryphellidae,Dendronotus,Gastropoda 1,Gastropoda 2,Gastropoda 3,Tonicellinae,Chitonida,Nemertea 1,Nemertea 2,Nemertea 3,Nemertea 4,Nemertea 5,Platyhelminthes 1,Platyhelminthes 2,Brattegardia nanseni,Clathrina,Calcarea 1,Calcarea 2,Craniella,Aplysilla sulfurea,Halichondria (Halichondria) panicea,Halichodria (Eumastia) sitiens,Stylocordyla borealis,Heteroscleromorpha,Hymedesmia (Hymedesmia) canadensis,Hymedesmiidae,Iophon,Mycale (Mycale) lingua,Myxilla (Myxilla) fimbriata,Myxilla,Tedania suctoria,Polymastiidae,Polymastia uberrima,Demospongiae 1,Demospongiae 2,Demospongiae funnel,Porifera encrusting - blue yellow,Porifera encrusting - brown beige,Porifera encrusting - orange veined,Porifera encrusting - pink,Porifera encrusting - white smooth,Porifera encrusting - yellow dark,Porifera encrusting - yellow veined,Porifera encrusting - bumpy yellow white,Porifera massive,Porifera massive with protrusions,Borealithothamnion glaciale,Corallinophycidae,Peyssonnelia rosenvingei,Cermothamnion coulteri,Phycodrys rubens,Ptilota serrata,Spermothamnion,Gigartinales,Coccotylus truncatus,Palmaria palmata,Chromista,Animalia_1,Animalia_2,Animalia_3,Animalia_4,Animalia_5,Boreolithothamnion glaciale dead,Animalia_6,Animalia_7,Animalia_8,Animalia_9,Animalia_10,Animalia_11
CON011,20230815,144755,CON011_20230815_144755,45.94929833,-59.31466,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON011,20230815,145105,CON011_20230815_145105,45.94871333,-59.31517833,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CON011,20230815,145251,CON011_20230815_145251,45.94828667,-59.31548667,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
CON011,20230815,145456,CON011_20230815_145456,45.94778167,-59.31582,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CON011,20230815,145724,CON011_20230815_145724,45.94720333,-59.31620333,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON011,20230815,145908,CON011_20230815_145908,45.94667333,-59.316495,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
CON011,20230815,150121,CON011_20230815_150121,45.94600833,-59.31684,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
CON011,20230815,150303,CON011_20230815_150303,45.94555333,-59.31708167,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
CON011,20230815,150511,CON011_20230815_150511,45.945005,-59.317385,,1,,,,,,1,,1,1,,,,1,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,1,,,,
CON011,20230815,150659,CON011_20230815_150659,45.944565,-59.31764,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,,,
