SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8834,183548,212379,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1671,107,23,3.1,1.3,3,,590,1.5,,3,,3,
8834,183549,212380,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1672,161,27,2.5,2.2,1,,9100,0.1,,,,4,
8834,183549,212381,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1672,161,27,2.5,2.2,1,,9000,0.2,,1,,4,
8834,183550,212382,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1673,133,24,2.3,1.9,1,,2800,0.2,,1,,4,
8834,183550,212383,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1673,133,24,2.3,1.9,1,,9100,0.2,,,,4,
8834,183551,212384,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1674,141,24,5.5,1.6,3,,9100,0.4,,,,4,
8834,183551,212385,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1674,141,24,5.5,1.6,3,,590,3.5,,1,,3,
8834,183552,212386,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1675,140,23,5.2,1.9,4,,9100,0.8,,,,4,
8834,183552,212387,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1675,140,23,5.2,1.9,4,,9000,2.2,,1,,4,
8834,183552,212388,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1675,140,23,5.2,1.9,4,,2100,0.3,,1,,4,
8834,183553,212389,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1676,195,28,3.9,1.9,3,,9100,0.8,,,,4,
8834,183553,212390,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1676,195,28,3.9,1.9,3,,2559,1.2,,1,,3,
8834,183554,212391,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1677,190,28,3.4,2.3,2,,2100,0.8,,1,,4,
8834,183554,212392,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1677,190,28,3.4,2.3,2,,9100,0.2,,,,4,
8834,183554,212393,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1677,190,28,3.4,2.3,2,,590,0.1,,1,,3,
8834,183555,212394,SCS,S16112016,2,16-Nov-16,751,,,93,16,44.09067,-59.25117,4W,4WG,10,1678,283,31,3.6,3.3,1,,2800,0.1,,1,,4,
