trip,set,station,area_swept
S01092021,5,93,0.004041057
S01092021,6,51,0.004290359
S02092023,1,29,0.00378846
S02092023,2,801,0.003344714
S02092023,4,17,0.00367962
S02102016,4,31,0.004220253
S02102016,5,34,0.00348603
S02102016,6,507,0.0033098
S07092022,1,29,0.004118568
S07092022,2,801,0.003928438
S07092022,3,18,0.004066448
S07092022,4,17,0.004177994
S08092016,10,204,0.004027071
S08092016,11,609,0.00489366
S08092016,12,611,0.003446525
S08092023,1,18,0.003229832
S08092023,2,511,0.004034676
S08092023,3,16,0.003984665
S08092023,4,611,0.003455462
S09092023,14,204,0.004252307
S09092023,15,609,0.005904074
S10092016,1,511,0.003457878
S10092016,2,205,0.003418684
S10092016,3,32,0.003749258
S10092016,4,206,0.003899969
S10092019,3,611,0.005107861
S10092019,4,204,0.005587732
S10092019,5,609,0.006064877
S10092019,6,16,0.005293295
S10092019,7,17,0.004738974
S10092019,8,29,0.005069145
S10092019,9,801,0.004408359
S10092019,10,18,0.005111929
S10092019,11,511,0.004775259
S10092019,12,31,0.004871604
S10092023,1,205,0.004243867
S10092023,2,32,0.004052373
S10092023,3,206,0.004177946
S11092015,5,611,0.004431211
S11092015,6,204,NA
S11092015,7,609,NA
S11092015,8,16,0.004581699
S11092015,9,17,0.004508147
S11092015,10,29,0.003988328
S11092016,4,17,0.003325098
S11092016,5,16,0.003792665
S11092016,6,18,0.003647504
S11092016,7,801,0.00392302
S11092016,8,29,0.003421464
S11092019,1,205,0.005006046
S11092019,2,32,0.005174947
S11092019,3,206,0.006383396
S11092019,6,507,0.005753878
S11092019,7,34,0.005992121
S11092019,10,36,0.006303144
S11092019,11,91,0.004242505
S12092015,1,801,0.004526373
S12092015,2,18,0.004121221
S12092015,3,511,0.004344087
S12092015,4,205,0.005426498
S12092015,5,32,0.005926042
S12092015,6,206,0.006312017
S12092015,8,507,0.005413025
S12092015,9,34,0.004268455
S12092015,10,31,0.004731213
S12092019,2,93,0.00522866
S12092019,3,51,0.006440344
S13092015,5,36,0.004999186
S13092015,6,91,0.004293808
S13092015,9,51,0.004880219
S13092015,10,93,0.004451421
S13092018,4,204,0.003041547
S13092018,5,611,0.003255736
S13092018,6,609,0.004392349
S13092018,7,16,0.004664143
S13092018,8,205,0.004420544
S13092018,9,32,0.003212024
S13092018,10,206,0.003066877
S13092022,14,611,0.004035739
S13092023,9,507,0.003919714
S13092023,10,34,0.00402044
S13092023,11,31,0.004035915
S13092023,12,91,0.003217049
S13092023,13,93,0.003560654
S14092018,5,29,0.004428825
S14092018,6,801,0.004184104
S14092018,7,18,0.002735406
S14092018,8,17,0.003767861
S14092018,9,511,0.004387706
S14092018,10,31,0.004298667
S14092018,11,34,0.004790565
S14092018,12,507,0.004457716
S14092022,1,204,0.004784339
S14092022,2,609,0.005196476
S14092022,3,16,0.004193941
S14092022,4,511,0.003956618
S14092022,5,205,0.004796276
S14092022,6,32,0.004970247
S14092022,7,206,0.005447096
S14092022,10,507,0.00442942
S14092022,11,34,0.00496818
S15092017,4,204,0.004479231
S15092017,5,609,0.004366145
S15092017,6,611,0.005464181
S15092017,7,17,0.002993906
S15092017,8,29,0.003896652
S15092018,4,36,0.003882617
S15092018,5,91,0.003526468
S15092018,7,51,0.004580384
S15092018,8,93,0.003844998
S15092022,1,93,0.003795384
S18092021,1,91,0.003336214
S18092021,3,29,0.004383348
S18092021,4,801,NaN
S18092021,5,18,0.005588999
S18092021,6,17,0.004350594
S21092017,2,93,0.003621438
S21102022,1,91,0.004115846
S21102022,2,31,0.004351518
S21102022,4,36,0.004438776
S21122021,4,507,0.00566061
S21122021,5,34,0.00572738
S22092017,1,91,0.003182384
S22092017,2,801,0.003474595
S22092017,3,18,0.004396125
S22092017,4,511,0.003360308
S22092017,6,16,0.00367748
S22092017,7,205,0.004849857
S22092017,8,32,0.005737063
S22092017,9,206,0.004619931
S23092017,1,31,0.003376715
S23092017,2,34,0.003557875
S23092017,3,507,0.004086531
S23092017,6,36,0.00403443
S24092017,6,51,NA
S24092021,2,204,0.002432072
S24092021,3,609,0.005735961
S24092021,4,611,0.004804269
S24092021,7,16,0.004999083
S24092021,8,511,0.005100121
S24092021,9,205,0.005161736
S24092021,10,32,0.005247019
S24092021,11,206,0.00519561
S24092021,12,31,0.004512383
S25092023,5,51,0.004112744
S26092023,3,36,0.003324478
S30092016,2,93,0.003950449
S30092016,4,51,0.004005071
S30092016,7,91,0.00286475
S30092016,8,36,0.003692982
