,station,deploy_lat,deploy_long
13,H,44.93053,-66.98242
17,V2LSCF-S14,46.02165,-59.0985
45,V2LSCF-S15,46.02167,-59.08521
109,V2LSCF-S16,46.02184,-59.07274
135,V2LSCF-S10,46.02152,-58.91731
139,V2LSCF-S11,46.02294,-58.90342
142,V2LSCF-N8,46.2037,-59.14133
144,GDL-WG-72_201707-36310,45.94298,-59.04082
145,DC5,44.93373,-66.98302
146,GDL-WG-72_201707-36571,46.03004,-59.169
147,GDL-WG-72_201707-37478,46.03005,-59.16842
148,GDL-WG-72_201707-36432,46.03008,-59.1666
149,GDL-WG-72_201707-37344,46.03009,-59.16604
150,DC19,44.9375,-66.97491
151,SC-COOPER RIVER-RKM 37 SCEG,33.01373,-79.92286
152,LVPS_12,17.78299,-64.61159
153,GDL-WG-91_92_2018-40675,46.02588,-59.17616
154,GDL-WG-91_92_2018-40717,46.02583,-59.17452
155,GDL-WG-91_92_2018-40743,46.02589,-59.17399
156,GDL-WG-91_92_2018-40682,46.02602,-59.17336
157,GDL-WG-91_92_2018-40716,46.02639,-59.17161
160,N101,46.161,-59.27147
204,GDL-WG-91_92_2018-40706,46.03048,-59.29643
205,GDL-WG-91_92_2018-40696,46.03056,-59.29697
206,GDL-WG-91_92_2018-40745,46.03083,-59.29844
207,GDL-WG-91_92_2018-40715,46.03101,-59.29933
208,GDL-WG-91_92_2018-40684,46.03127,-59.30059
209,GDL-WG-91_92_2018-40725,46.03135,-59.30113
210,GDL-WG-91_92_2018-40739,46.0314,-59.30153
211,GDL-WG-91_92_2018-40681,46.03148,-59.30209
212,GDL-WG-91_92_2018-40694,46.02989,-59.32209
213,GDL-WG-91_92_2018-40732,46.02986,-59.32032
214,GDL-WG-91_92_2018-40689,46.02983,-59.31866
215,GDL-WG-91_92_2018-40685,46.02983,-59.31717
216,GDL-WG-91_92_2018-40721,46.02983,-59.31474
218,N109,46.1926,-59.17672
415,N108,46.18883,-59.18826
454,N107,46.18363,-59.20034
482,N106,46.18099,-59.21217
497,N105,46.17711,-59.22334
691,N104,46.17312,-59.23566
717,N103,46.16934,-59.24744
745,N102,46.16548,-59.25893
793,V2LSCF-N18,46.23085,-59.05871
794,V2LSCF-N17,46.22697,-59.0711
800,V2LSCF-N8,46.20403,-59.14136
815,N22,46.24659,-59.01201
833,V2LSCF-N20,46.23836,-59.03603
843,V2LSCF-N21,46.24191,-59.02366
848,V2LSCF-S17,46.02149,-59.05975
1027,V2LSCF-S18,46.02107,-59.04714
1371,V2LSCF-S16,46.02148,-59.07189
1420,CBS009,47.07187,-60.32662
1431,LVPS_18,17.78296,-64.60995
1432,LVPS_03,17.78439,-64.61238
1433,BUIS_42,17.78282,-64.60882
1434,LVPS_17,17.78255,-64.61082
1442,CBS015,47.10124,-60.28247
1447,CABOT NORD,48.04083,-61.16233
1450,CBS170,47.25698,-60.06073
1452,N23,46.16175,-59.27114
1457,V2LSCF-S20,46.02161,-58.85209
1458,V2LSCF-S21,46.02203,-58.83959
1503,LUVI_27,17.77677,-64.61621
1583,N123,46.24664,-59.01222
1586,S102,46.02143,-59.08513
1592,S103,46.02125,-59.07238
1597,V2LSCF-N13,46.16585,-59.25879
1605,N118,46.22689,-59.07148
1613,S118,46.02168,-58.87804
1618,S119,46.02167,-58.8648
1626,S120,46.02151,-58.85219
1627,S121,46.02188,-58.83954
1629,S122,46.02174,-58.82628
1651,V2LSCF-N3,46.18382,-59.20024
1664,V2LSCF-N2,46.18145,-59.21199
1686,V2LSCF-N1,46.17736,-59.22349
1877,N112,46.20397,-59.14154
1880,N113,46.20791,-59.12985
2377,S104,46.02141,-59.05982
2445,S101,46.02183,-59.09836
2456,GDL-WG-91_92_2018-40678,46.01906,-59.24806
2457,GDL-WG-91_92_2018-40709,46.01873,-59.24899
2458,GDL-WG-91_92_2018-40722,46.01825,-59.25033
2459,GDL-WG-91_92_2018-40697,46.01786,-59.2514
2460,GDL-WG-91_92_2018-40701,46.01764,-59.25197
2461,GDL-WG-91_92_2018-40731,46.01742,-59.25255
2462,GDL-WG-91_92_2018-40680,46.01717,-59.25319
2463,GDL-WG-91_92_2018-40711,46.01689,-59.25393
2464,GDL-WG-91_92_2018-40746,46.01652,-59.25489
2465,GDL-WG-91_92_2018-40702,46.01599,-59.25627
2467,CBS003,47.0424,-60.37093
2470,CBS004,47.04736,-60.36334
2488,ZSC002,47.0315,-60.65098
2509,CBS007,47.06197,-60.34185
2512,CBS008,47.0671,-60.33412
2553,S108,46.02186,-59.0051
2554,S109,46.02182,-58.99478
2596,S107,46.02177,-59.02082
2652,S106,46.02219,-59.03353
2685,S105,46.02091,-59.04642
2686,S112,46.02178,-58.95601
2697,S113,46.02188,-58.94312
2701,CBS171,47.261,-60.05259
2728,V2LSCF-N7,46.20036,-59.15345
2737,V2LSCF-N6,46.19662,-59.16467
2739,V2LSCF-N4,46.18905,-59.18804
2792,V2LSCF-N5,46.1925,-59.17673
2828,CBS005,47.05265,-60.35635
2851,V2LSCF-N9,46.20795,-59.12996
2873,N122,46.24223,-59.02358
2902,CBS006,47.05742,-60.34905
2923,CBS016,47.10628,-60.27528
2963,CBS012,47.08675,-60.30496
2967,V2LSCF-S14,46.02175,-59.09797
2995,V2LSCF-S15,46.0213,-59.08498
3151,V2LSCF-N14,46.16972,-59.24736
3182,V2LSCF-S4,46.02174,-58.99511
3434,V2LSCF-N19,46.23439,-59.04727
3775,N111,46.20018,-59.15327
3787,S117,46.0218,-58.89138
3904,CBS245,47.57099,-59.41205
4009,S110,46.02162,-58.98206
4341,V2LSCF-N11,46.21582,-59.10623
4345,V2LSCF-N10,46.21153,-59.11819
4369,GDL-WG-106_20191120-315177,46.02942,-59.17
4370,GDL-WG-106_20191120-315130,46.02944,-59.16798
4371,GDL-WG-106_20191120-314399,46.02945,-59.16665
4372,GDL-WG-106_20191120-314799,46.02947,-59.16495
4373,N114,46.2114,-59.11822
4394,S122,46.02172,-58.82676
4400,CBS180,47.29912,-59.97438
4411,CBS179,47.29443,-59.98399
4416,CBS178,47.29054,-59.99204
4434,CBS175,47.27797,-60.01767
4436,CBS173,47.2699,-60.03544
4439,CBS172,47.26512,-60.04428
4643,CBS191,47.34477,-59.87942
4653,CBS196,47.3654,-59.83654
4656,CBS195,47.36166,-59.84518
