Serial Number,WE0281117
Sample ID,00004
Start Time,2022-11-22 19:30:30 UTC
Duration,97 days, 17:59:02
Total Volume (l),1.4
Distance (m),0
Peak Pressure (psi),7.8
Avg Flow (l/min),0.6
Avg Rate (mL/m),999.0
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-11-22 19:30:30,0,0.00,-0.58,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:13,78643,0.00,-0.63,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:15,78645,0.00,-0.62,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:17,78647,0.00,-0.46,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:19,78649,0.00,-0.15,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:21,78651,0.00,1.21,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:23,78653,0.00,2.92,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:25,78655,0.00,4.00,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:27,78657,0.00,4.85,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:29,78659,0.00,5.70,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:31,78661,0.00,7.21,0.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:33,78663,0.04,7.85,0.96,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:35,78665,0.09,6.86,1.22,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:37,78667,0.13,3.68,1.17,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:39,78669,0.16,5.00,1.03,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:41,78671,0.19,3.66,1.03,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:43,78673,0.23,3.95,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:45,78675,0.26,3.82,1.01,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:47,78677,0.29,4.04,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:49,78679,0.33,3.98,1.01,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:51,78681,0.36,3.89,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:53,78683,0.39,3.88,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:55,78685,0.43,3.89,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:57,78687,0.46,4.05,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:21:59,78689,0.49,4.05,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:01,78691,0.53,4.54,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:03,78693,0.56,3.76,1.00,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:15,78705,0.59,2.77,0.02,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:17,78707,0.63,2.91,0.91,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:19,78709,0.68,0.63,1.22,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:21,78711,0.71,1.19,0.88,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:23,78713,0.72,1.51,0.60,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:25,78715,0.73,1.30,0.44,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:27,78717,0.74,1.35,0.24,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:29,78719,0.74,1.29,0.08,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:31,78721,0.74,1.33,0.02,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-16 17:22:33,78723,0.74,1.24,0.01,999.00,0.00,0.000000,0.000000,0.0,2500.0
2023-02-28 13:28:37,64687,0.74,-0.58,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:39,64689,0.74,-0.53,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:41,64691,0.74,-0.28,0.07,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:43,64693,0.74,0.06,0.02,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:45,64695,0.74,2.18,0.01,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:47,64697,0.74,3.12,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:49,64699,0.74,3.85,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:51,64701,0.74,3.83,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:53,64703,0.74,5.85,0.11,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:55,64705,0.78,6.95,0.72,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:57,64707,0.82,7.42,1.08,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:28:59,64709,0.86,7.29,1.20,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:01,64711,0.90,3.23,1.14,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:03,64713,0.93,5.20,1.03,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:05,64715,0.97,3.85,1.02,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:07,64717,1.00,4.27,1.01,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:09,64719,1.03,3.93,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:11,64721,1.07,4.24,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:13,64723,1.10,4.64,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:15,64725,1.13,3.85,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:18,64728,1.17,3.86,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:20,64730,1.20,4.46,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-28 13:29:22,64732,1.23,3.87,1.00,999.00,0.00,0.000000,0.000000,0.0,250.0
