Serial Number,WE0281117
Sample ID,00019
Start Time,2023-04-21 12:44:48 UTC
Duration,0:01:26
Total Volume (l),0.17
Distance (m),148
Peak Pressure (psi),6.5
Avg Flow (l/min),0.1
Avg Rate (mL/m),1.0
Avg Speed (m/s),1.7


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 12:44:48,0,0.00,1.67,0.00,0.00,1.98,44.712477,-62.388264,2.2,6.6
2023-04-21 12:44:50,2,0.03,6.48,0.64,5.56,1.92,44.712508,-62.388284,0.6,6.6
2023-04-21 12:44:52,4,0.08,-0.11,1.34,11.93,1.87,44.712539,-62.388291,1.2,6.6
2023-04-21 12:44:54,6,0.11,0.21,1.05,9.46,1.85,44.712573,-62.388296,1.4,6.6
2023-04-21 12:44:56,8,0.13,0.07,0.69,6.30,1.83,44.712608,-62.388282,1.9,6.6
2023-04-21 12:44:58,10,0.14,0.28,0.34,3.16,1.80,44.712643,-62.388286,2.4,4.2
2023-04-21 12:45:00,12,0.15,2.29,0.32,3.00,1.78,44.712673,-62.388295,2.4,4.2
2023-04-21 12:45:02,14,0.16,0.25,0.21,1.96,1.78,44.712708,-62.388305,1.9,4.2
2023-04-21 12:45:04,16,0.16,0.29,0.07,0.65,1.79,44.712742,-62.388317,1.5,4.2
2023-04-21 12:45:06,18,0.16,0.20,0.04,0.37,1.79,44.712772,-62.388332,0.1,4.2
2023-04-21 12:45:08,20,0.16,0.13,0.06,0.55,1.83,44.712808,-62.388344,-0.3,4.2
2023-04-21 12:45:10,22,0.16,0.19,0.02,0.18,1.85,44.712841,-62.388342,0.5,4.2
2023-04-21 12:45:12,24,0.16,0.14,0.01,0.09,1.86,44.712872,-62.388356,0.4,4.2
2023-04-21 12:45:14,26,0.16,0.07,0.01,0.09,1.86,44.712905,-62.388369,-1.5,4.2
2023-04-21 12:45:16,28,0.16,0.07,0.00,0.00,1.89,44.712947,-62.388383,-1.8,4.2
2023-04-21 12:45:18,30,0.16,0.02,0.00,0.00,1.88,44.712980,-62.388391,-2.3,4.2
2023-04-21 12:45:20,32,0.16,0.11,0.00,0.00,1.91,44.713010,-62.388410,-2.5,4.2
2023-04-21 12:45:22,34,0.16,0.08,0.00,0.00,1.89,44.713043,-62.388422,-2.9,4.2
2023-04-21 12:45:24,36,0.16,-0.06,0.00,0.00,1.89,44.713072,-62.388444,-3.5,4.2
2023-04-21 12:45:26,38,0.16,-0.04,0.05,0.43,1.93,44.713106,-62.388451,-3.4,4.2
2023-04-21 12:45:28,40,0.16,-0.06,0.01,0.09,1.89,44.713137,-62.388451,-3.5,6.5
2023-04-21 12:45:30,42,0.16,-0.09,0.00,0.00,1.86,44.713167,-62.388475,-4.1,6.5
2023-04-21 12:45:32,44,0.16,-0.01,0.00,0.00,1.86,44.713200,-62.388479,-3.7,6.5
2023-04-21 12:45:34,46,0.16,-0.03,0.00,0.00,1.85,44.713230,-62.388503,-5.7,6.5
2023-04-21 12:45:36,48,0.16,-0.08,0.00,0.00,1.79,44.713256,-62.388526,-5.7,6.5
2023-04-21 12:45:38,50,0.16,-0.08,0.01,0.09,1.77,44.713286,-62.388553,-7.5,6.5
2023-04-21 12:45:40,52,0.16,-0.06,0.00,0.00,1.76,44.713318,-62.388558,-8.2,6.5
2023-04-21 12:45:42,54,0.16,-0.10,0.03,0.29,1.75,44.713339,-62.388584,-8.5,6.5
2023-04-21 12:45:44,56,0.17,-0.16,0.07,0.69,1.70,44.713357,-62.388594,-7.9,6.5
2023-04-21 12:45:46,58,0.17,-0.26,0.02,0.20,1.66,44.713378,-62.388604,-8.3,6.5
2023-04-21 12:45:48,60,0.17,-0.15,0.01,0.10,1.63,44.713396,-62.388610,-6.9,4.2
2023-04-21 12:45:50,62,0.17,-0.04,0.01,0.10,1.60,44.713417,-62.388616,-4.3,4.2
2023-04-21 12:45:52,64,0.17,-0.08,0.00,0.00,1.52,44.713432,-62.388619,-4.6,4.2
2023-04-21 12:45:54,66,0.17,-0.04,0.00,0.00,1.49,44.713450,-62.388625,-3.5,4.2
2023-04-21 12:45:56,68,0.17,-0.06,0.00,0.00,1.49,44.713478,-62.388626,-1.8,4.2
2023-04-21 12:45:58,70,0.17,-0.04,0.00,0.00,1.43,44.713493,-62.388635,-1.3,4.2
2023-04-21 12:46:00,72,0.17,-0.07,0.00,0.00,1.35,44.713508,-62.388646,-2.2,4.2
2023-04-21 12:46:02,74,0.17,-0.06,0.00,0.00,1.31,44.713524,-62.388661,-2.7,4.2
2023-04-21 12:46:04,76,0.17,-0.10,0.00,0.00,1.27,44.713537,-62.388680,-2.6,4.2
2023-04-21 12:46:06,78,0.17,-0.10,0.00,0.00,1.23,44.713558,-62.388682,-0.2,4.2
2023-04-21 12:46:08,80,0.17,3.89,0.00,0.00,1.20,44.713573,-62.388695,-0.3,4.2
2023-04-21 12:46:10,82,0.17,-0.22,0.00,0.00,1.16,44.713584,-62.388715,-1.0,4.2
2023-04-21 12:46:12,84,0.17,-0.21,0.00,0.00,1.14,44.713595,-62.388721,-0.5,4.2
2023-04-21 12:46:14,86,0.17,-0.19,0.00,0.00,1.12,44.713608,-62.388739,-0.1,4.2
