"station","lon","deg_lon","dm_lon","lat","deg_lat","dm_lat"
"SR_03",-62.5209,-62,31.2549,44.7889,44,47.3319
"SR_06",-62.4942,-62,29.6514,44.7891,44,47.3467
"SR_07",-62.4845,-62,29.0719,44.7892,44,47.3522
"SR_12",-62.4474,-62,26.8435,44.7998,44,47.9872
"SR_13",-62.447,-62,26.8218,44.8066,44,48.3963
"MR_04",-62.1173,-62,7.0405,44.881,44,52.8614
"MR_05",-62.1127,-62,6.763,44.8746,44,52.4762
"MR_06",-62.1081,-62,6.4847,44.8682,44,52.0911
"MR_07",-62.1035,-62,6.2082,44.8618,44,51.7072
"MR_08",-62.0989,-62,5.9325,44.8554,44,51.3258
"MR_09",-62.0941,-62,5.647,44.849,44,50.9392
"MR_10",-62.0895,-62,5.372,44.8426,44,50.558
"MR_11",-62.0848,-62,5.089,44.8361,44,50.1685
"MR_12",-62.0802,-62,4.812,44.8298,44,49.7862
"MR_13",-62.0755,-62,4.5299,44.8233,44,49.4008
"MR_14",-62.0709,-62,4.2564,44.817,44,49.0187
"MR_15",-62.0663,-62,3.9767,44.8106,44,48.6355
"MR_16",-62.0615,-62,3.6913,44.8042,44,48.25
"MR_17",-62.0569,-62,3.4116,44.7978,44,47.8661
"MR_18",-62.0522,-62,3.1327,44.7913,44,47.4779
"MR_19",-62.0475,-62,2.85,44.7849,44,47.0925
"MR_20",-62.0428,-62,2.57,44.7784,44,46.7043
"MR_21",-62.0382,-62,2.2892,44.772,44,46.3195
"MR_22",-62.0335,-62,2.0099,44.7656,44,45.9349
"MR_23",-62.0288,-62,1.7306,44.7592,44,45.5503
"MR_24",-62.0242,-62,1.4513,44.7528,44,45.1656
"MR_25",-62.0195,-62,1.1721,44.7463,44,44.781
"MR_26",-62.0149,-62,0.893,44.7399,44,44.3963
"ESI_1",-62.2315,-62,13.8881,44.9055,44,54.3289
"ESI_2",-62.1872,-62,11.2332,44.8548,44,51.2869
"ESI_3",-62.143,-62,8.583,44.8041,44,48.2438
"ESI_4",-62.0983,-62,5.8997,44.7524,44,45.1414
"ESI_5",-62.4802,-62,28.8113,44.8235,44,49.4086
"ESI_6",-62.4357,-62,26.1432,44.7728,44,46.3664
"ESI_7",-62.3913,-62,23.4798,44.7221,44,43.3231
"ESI_8",-62.3466,-62,20.7958,44.6707,44,40.24
"ESI_9",-62.7282,-62,43.6921,44.7409,44,44.4558
"ESI_10",-62.6835,-62,41.011,44.6902,44,41.4134
"ESI_11",-62.6389,-62,38.3345,44.6395,44,38.37
"ESI_12",-62.5942,-62,35.6501,44.5884,44,35.3062
"ESI_13",-62.9755,-62,58.5304,44.6578,44,39.4707
"ESI_14",-62.9306,-62,55.8364,44.6071,44,36.4283
"ESI_15",-62.8858,-62,53.147,44.5564,44,33.3848
"ESI_16",-62.841,-62,50.4623,44.5057,44,30.3402
"SAB_trans_1",-59.2115,-59,12.6928,45.9889,45,59.3364
"SAB_trans_2",-59.206,-59,12.359,45.9971,45,59.8235
"SAB_trans_3",-59.1976,-59,11.8582,46.0092,46,0.5542
"SAB_trans_4",-59.1614,-59,9.6855,46.062,46,3.7198
"SAB_trans_5",-59.1112,-59,6.6704,46.135,46,8.1018
"SAB_trans_6",-59.0608,-59,3.6472,46.208,46,12.4824
"SAB_trans_7",-59.0103,-59,0.616,46.281,46,16.8617
"SAB_trans_8",-58.9596,-58,57.5768,46.354,46,21.2395
"SAB_trans_9",-59.2016,-59,12.0967,45.9947,45,59.6811
"SAB_trans_10",-59.1867,-59,11.2023,46.0033,46,0.1979
"SAB_trans_11",-59.1221,-59,7.3236,46.0406,46,2.4362
"SAB_trans_12",-59.0324,-59,1.9445,46.0922,46,5.5317
"SAB_trans_13",-58.9426,-58,56.5553,46.1437,46,8.6229
"SAB_trans_14",-58.8526,-58,51.156,46.1952,46,11.7099
"SAB_trans_15",-58.7624,-58,45.7467,46.2465,46,14.7926
"SAB_zone_1",-58.9443,-58,56.6555,45.9795,45,58.7708
"SAB_zone_2",-58.9443,-58,56.6571,45.9345,45,56.0718
"SAB_zone_3",-59.0088,-59,0.5254,45.9345,45,56.0718
"SAB_zone_4",-59.0088,-59,0.5269,45.9795,45,58.7708
"SAB_zone_5",-58.9765,-58,58.5912,45.957,45,57.4216
"SAB_zone_6",-59.2409,-59,14.4566,45.9791,45,58.7477
"SAB_zone_7",-59.241,-59,14.4582,45.9341,45,56.0487
"SAB_zone_8",-59.3054,-59,18.3264,45.9341,45,56.0487
"SAB_zone_9",-59.3055,-59,18.3279,45.9791,45,58.7477
"SAB_zone_10",-59.2732,-59,16.3923,45.9566,45,57.3985
"SAB_zone_11",-59.5376,-59,32.2572,45.978,45,58.6784
"SAB_zone_12",-59.5376,-59,32.2587,45.933,45,55.9794
"SAB_zone_13",-59.6021,-59,36.1269,45.933,45,55.9794
"SAB_zone_14",-59.6021,-59,36.1284,45.978,45,58.6784
"SAB_zone_15",-59.5699,-59,34.1928,45.9555,45,57.3292
