"Station","Activity","Depth","lon_ddm","lat_ddm","Longitude","Latitude","Attribute"
"Cam1_E","Camera Survey",92.8,"'-59° 10.559000'","46° 2.523000'",-58.82401403,46.04204564,"Crinoids"
"Cam2_E","Camera Survey",93.5,"'-59° 9.652000'","46° 2.174000'",-58.83914018,46.03623526,"Crinoids"
"Cam3_E","Camera Survey",116.5,"'-59° 8.665000'","46° 1.069000'",-58.85558763,46.01781512,"Crinoids"
"Cam4_E","Camera Survey",98.9,"'-59° 8.137000'","46° 0.114000'",-58.86438791,46.00190385,"Crinoids"
"Cam5_E","Camera Survey",120.6,"'-59° 7.074000'","45° 59.622000'",-58.88210337,45.99370597,"Crinoids"
"Cam6_E","Camera Survey",112.5,"'-59° 5.317000'","46° 2.577000'",-58.91139067,46.04295678,"Crinoids"
"Cam7_E","Camera Survey",134.7,"'-59° 4.764000'","46° 1.886000'",-58.92059937,46.03143258,"Crinoids"
"Cam8_C","Camera Survey",72.4,"'-60° 23.200000'","45° 53.514000'",-59.61333948,45.89190829,"Curdo Bank"
"Cam9_D","Camera Survey",38.1,"'-60° 23.679000'","45° 53.534000'",-59.60534434,45.89222591,"Curdo Bank"
"Cam10_D","Camera Survey",39.9,"'-60° 24.471000'","45° 53.553000'",-59.59214991,45.89255071,"Curdo Bank"
"Cam11_D","Camera Survey",39.9,"'-60° 24.809000'","45° 53.574000'",-59.58650986,45.89289938,"Curdo Bank"
"Cam12_D","Camera Survey",56.4,"'-60° 25.155000'","45° 53.600000'",-59.58075086,45.89333632,"Curdo Bank"
"Cam13_C","Camera Survey",62.3,"'-60° 26.395000'","45° 53.670000'",-59.56007529,45.89449304,"Curdo-Scatarie"
"Cam14_D","Camera Survey",45.7,"'-60° 29.442000'","45° 53.940000'",-59.50930281,45.89900136,"Curdo-Scatarie"
"Cam15_C","Camera Survey",49,"'-60° 34.129000'","45° 55.979000'",-59.4311896,45.93298737,"Curdo-Scatarie"
"Cam16_D","Camera Survey",96.3,"'-60° 37.155000'","45° 56.363000'",-59.38075142,45.93938691,"Curdo-Scatarie"
"Cam17_E","Camera Survey",100.4,"'-60° 41.080000'","45° 56.564000'",-59.31532631,45.9427412,"Crinoids"
"Cam18_B","Camera Survey",90.1,"'-60° 34.367000'","45° 51.086000'",-59.42721236,45.85142633,"Benthoscape"
"Cam19_A","Camera Survey",92.2,"'-60° 39.093000'","45° 50.995000'",-59.34844312,45.84990932,"Benthoscape"
"Cam20_A","Camera Survey",93.2,"'-60° 43.162000'","45° 51.671000'",-59.28064008,45.8611843,"Benthoscape"
"Cam21_B","Camera Survey",111.9,"'-60° 45.640000'","45° 51.285000'",-59.23932669,45.85475397,"Benthoscape"
"Cam22_D","Camera Survey",43.1,"'-60° 44.877000'","45° 57.861000'",-59.252045,45.964358,"Scatarie"
"Cam23_D","Camera Survey",62.4,"'-60° 44.346000'","45° 58.737000'",-59.26089742,45.97895067,"Scatarie"
"Cam24_D","Camera Survey",36.4,"'-60° 46.608000'","45° 59.322000'",-59.22319325,45.98870021,"Scatarie"
"Cam25_D","Camera Survey",34.1,"'-60° 48.020000'","45° 59.574000'",-59.19966472,45.99289889,"Scatarie"
"Cam26_D","Camera Survey",39.1,"'-60° 49.236000'","45° 59.496000'",-59.17940783,45.99160272,"Scatarie"
"Cam27_U","Camera Survey",39.4,"'-60° 25.970000'","46° 6.881000'",-59.56717116,46.11468604,"unmapped"
"Cam28_U","Camera Survey",47.8,"'-60° 29.523000'","46° 7.851000'",-59.50795264,46.13085162,"unmapped"
"Cam29_U","Camera Survey",48.9,"'-60° 30.657000'","46° 5.875000'",-59.48905228,46.09790933,"unmapped"
"Cam30_U","Camera Survey",47,"'-60° 33.084000'","46° 5.790000'",-59.44859591,46.09649904,"unmapped"
"Cam31_U","Camera Survey",63.2,"'-60° 37.878000'","46° 4.770000'",-59.3687042,46.07949521,"unmapped"
"Cam32_U","Camera Survey",70.9,"'-60° 42.736000'","46° 4.194000'",-59.28773093,46.06990506,"unmapped"
"SAB_1","eDNA Sample",60.3,"'-60° 25.064000'","45° 50.644000'",-59.5822738780771,45.8440718421272,"Representative grid sample"
"SAB_2","eDNA Sample",56.3,"'-60° 25.440000'","45° 57.017000'",-59.5759982315865,45.9502797281641,"Representative grid sample"
"SAB_3","eDNA Sample",55.2,"'-60° 25.653000'","46° 3.760000'",-59.5724497647511,46.0626655742443,"Representative grid sample"
"SAB_4","eDNA Sample",39.3,"'-60° 25.888000'","46° 8.559000'",-59.5685385523847,46.1426557534162,"Representative grid sample"
"SAB_5","eDNA Sample",90.1,"'-60° 34.013000'","45° 51.179000'",-59.4331152642856,45.8529849333111,"Representative grid sample"
"SAB_6","eDNA Sample",76.8,"'-60° 34.710000'","45° 56.707000'",-59.4214976651277,45.9451112834159,"Representative grid sample"
"SAB_7","eDNA Sample",67.1,"'-60° 35.145000'","46° 3.444000'",-59.4142419855083,46.0573954171998,"Representative grid sample"
"SAB_8","eDNA Sample",56.3,"'-60° 35.811000'","46° 8.600000'",-59.4031518447475,46.1433277222084,"Representative grid sample"
