"sample","name","depth.ID","depth.sab_dem","lon_ddm","lat_ddm"
"eDNA","SAB_1",  1.0, 68.3,"59° 34.936' W","45° 50.644' N"
"eDNA","SAB_2",  2.0, 54.4,"59° 34.560' W","45° 57.017' N"
"eDNA","SAB_3",  3.0, 55.1,"59° 34.347' W","46° 03.760' N"
"eDNA","SAB_4",  4.0, 35.0,"59° 34.112' W","46° 08.559' N"
"eDNA","SAB_5",  5.0, 88.5,"59° 25.987' W","45° 51.179' N"
"eDNA","SAB_6",  6.0, 77.4,"59° 25.290' W","45° 56.707' N"
"eDNA","SAB_7",  7.0, 67.2,"59° 24.855' W","46° 03.444' N"
"eDNA","SAB_8",  8.0, 58.4,"59° 24.189' W","46° 08.600' N"
"eDNA","SAB_9",  9.0, 92.0,"59° 16.539' W","45° 51.763' N"
"eDNA","SAB_10", 10.0, 57.7,"59° 15.634' W","45° 56.397' N"
"eDNA","SAB_11", 11.0, 79.1,"59° 15.179' W","46° 03.133' N"
"eDNA","SAB_12", 12.0, 78.2,"59° 14.721' W","46° 09.869' N"
"eDNA","SAB_13", 13.0,108.6,"59° 13.658' W","46° 16.006' N"
"eDNA","SAB_14", 14.0,128.4,"59° 08.324' W","45° 52.260' N"
"eDNA","SAB_15", 15.0, 98.0,"59° 05.992' W","45° 56.084' N"
"eDNA","SAB_16", 16.0, 90.1,"59° 05.506' W","46° 02.809' N"
"eDNA","SAB_17", 17.0, 97.8,"59° 05.206' W","46° 09.448' N"
"eDNA","SAB_18", 18.0,118.1,"59° 06.732' W","46° 15.555' N"
"eDNA","SAB_19", 19.0,140.2,"58° 58.578' W","45° 56.127' N"
"eDNA","SAB_20", 20.0,123.5,"58° 58.783' W","46° 02.205' N"
"eDNA","Curdo_1", 21.0, 44.2,"59° 36.062' W","45° 53.819' N"
"eDNA","Curdo_2", 22.0, 52.8,"59° 36.090' W","45° 53.353' N"
"eDNA","Curdo_3", 23.0, 44.1,"59° 35.497' W","45° 53.569' N"
"eDNA","Curdo_4", 24.0, 61.3,"59° 36.240' W","45° 54.059' N"
