"type","station","depth","lon_ddm","lat_ddm"
"eDNA: OSW","sb_osw_1",-94.682502746582,"59° 31.615' W","46° 28.334' N"
"eDNA: OSW","sb_osw_2",-99.875,"59° 31.363' W","46° 32.287' N"
"eDNA: OSW","sb_osw_3",-94.75,"59° 37.581' W","46° 24.553' N"
"eDNA: OSW","sb_osw_4",-78.370002746582,"59° 37.337' W","46° 28.506' N"
"eDNA: OSW","sb_osw_5",-84.245002746582,"59° 37.091' W","46° 32.458' N"
"eDNA: OSW","sb_osw_6",-97.745002746582,"59° 36.845' W","46° 36.411' N"
"eDNA: OSW","sb_osw_7",-68.3099975585938,"59° 43.059' W","46° 28.672' N"
"eDNA: OSW","sb_osw_8",-67.5650024414062,"59° 42.820' W","46° 32.626' N"
"eDNA: OSW","sb_osw_9",-65.1849975585938,"59° 42.581' W","46° 36.579' N"
"eDNA: OSW","sb_osw_10",-93.4349975585938,"59° 42.341' W","46° 40.532' N"
"eDNA: OSW","sb_osw_11",-57.497501373291,"59° 48.782' W","46° 28.834' N"
"eDNA: OSW","sb_osw_12",-56.497501373291,"59° 48.550' W","46° 32.788' N"
"eDNA: OSW","sb_osw_13",-62.1875,"59° 48.318' W","46° 36.742' N"
"eDNA: OSW","sb_osw_14",-78.495002746582,"59° 48.085' W","46° 40.695' N"
"eDNA: OSW","sb_osw_15",-98.625,"59° 47.851' W","46° 44.649' N"
"eDNA: OSW","sb_osw_16",-56.8074989318848,"59° 54.505' W","46° 28.992' N"
"eDNA: OSW","sb_osw_17",-59.002498626709,"59° 54.281' W","46° 32.946' N"
"eDNA: OSW","sb_osw_18",-62.752498626709,"59° 54.055' W","46° 36.900' N"
"eDNA: OSW","sb_osw_19",-65.1224975585938,"59° 53.829' W","46° 40.854' N"
"eDNA: OSW","sb_osw_20",-104.872497558594,"59° 53.602' W","46° 44.807' N"
"eDNA: OSW","sb_osw_21",-76.8724975585938,"60° 00.230' W","46° 29.144' N"
"eDNA: OSW","sb_osw_22",-80.1224975585938,"60° 00.012' W","46° 33.098' N"
"eDNA: OSW","sb_osw_23",-96.6224975585938,"59° 59.794' W","46° 37.053' N"
"eDNA: OSW","sb_osw_24",-110.8125,"59° 59.575' W","46° 41.007' N"
