"type","Zone","lon","lat"
"2022 tag locations","1",-59.229,45.972
"2022 tag locations","1",-59.271,45.95
"2022 tag locations","1",-59.46,45.932
"2022 tag locations","2a",-59.588,45.904
"Halibut Survey","1",-59.136,46.029
"Halibut Survey","1",-58.903,46.198
"Halibut Survey","1",-58.593,46.19
"Halibut Survey","1",-59.257,46.118
"Halibut Survey","1",-59.24,46.068
"Halibut Survey","1",-59.197,46.049
"Halibut Survey","1",-59.126,46.061
"Halibut Survey","1",-59.257,46.118
"Halibut Survey","1",-58.858,46.37
"Halibut Survey","1",-58.885,46.34
"Halibut Survey","1",-58.76,46.413
"Halibut Survey","2a",-59.489,46.066
"Halibut Survey","2a",-59.624,45.862
"Halibut Survey","2a",-59.371,46.124
"Halibut Survey","2a",-59.415,46.143
"Halibut Survey","2a",-59.442,46.112
