,x
1,GADUS MORHUA
2,GADUS MORHUA
3,GADUS MORHUA
4,GADUS MORHUA
5,GADUS MORHUA
6,GADUS MORHUA
7,GADUS MORHUA
8,GADUS MORHUA
9,GADUS MORHUA
10,GADUS MORHUA
11,GADUS MORHUA
12,GADUS MORHUA
13,GADUS MORHUA
14,GADUS MORHUA
15,GADUS MORHUA
16,GADUS MORHUA
17,GADUS MORHUA
18,GADUS MORHUA
19,GADUS MORHUA
20,GADUS MORHUA
21,GADUS MORHUA
22,GADUS MORHUA
23,GADUS MORHUA
24,GADUS MORHUA
25,GADUS MORHUA
26,GADUS MORHUA
27,GADUS MORHUA
28,GADUS MORHUA
29,GADUS MORHUA
30,GADUS MORHUA
31,GADUS MORHUA
32,GADUS MORHUA
33,GADUS MORHUA
34,GADUS MORHUA
35,GADUS MORHUA
36,GADUS MORHUA
37,GADUS MORHUA
38,GADUS MORHUA
39,GADUS MORHUA
40,GADUS MORHUA
41,GADUS MORHUA
42,GADUS MORHUA
43,GADUS MORHUA
44,GADUS MORHUA
45,GADUS MORHUA
46,GADUS MORHUA
47,GADUS MORHUA
48,GADUS MORHUA
49,GADUS MORHUA
50,GADUS MORHUA
51,GADUS MORHUA
52,GADUS MORHUA
53,GADUS MORHUA
54,GADUS MORHUA
55,GADUS MORHUA
56,GADUS MORHUA
57,GADUS MORHUA
58,GADUS MORHUA
59,GADUS MORHUA
60,GADUS MORHUA
61,GADUS MORHUA
62,GADUS MORHUA
63,GADUS MORHUA
64,GADUS MORHUA
65,GADUS MORHUA
66,GADUS MORHUA
67,GADUS MORHUA
68,GADUS MORHUA
69,GADUS MORHUA
70,GADUS MORHUA
71,GADUS MORHUA
72,GADUS MORHUA
73,GADUS MORHUA
74,GADUS MORHUA
75,GADUS MORHUA
76,GADUS MORHUA
77,GADUS MORHUA
78,GADUS MORHUA
79,GADUS MORHUA
80,GADUS MORHUA
81,GADUS MORHUA
82,GADUS MORHUA
83,GADUS MORHUA
84,GADUS MORHUA
85,GADUS MORHUA
86,GADUS MORHUA
87,GADUS MORHUA
88,GADUS MORHUA
89,GADUS MORHUA
90,GADUS MORHUA
91,GADUS MORHUA
92,GADUS MORHUA
93,GADUS MORHUA
94,GADUS MORHUA
95,GADUS MORHUA
96,GADUS MORHUA
97,GADUS MORHUA
98,GADUS MORHUA
99,GADUS MORHUA
100,GADUS MORHUA
101,MELANOGRAMMUS AEGLEFINUS
102,UROPHYCIS TENUIS
103,UROPHYCIS TENUIS
104,UROPHYCIS TENUIS
105,UROPHYCIS TENUIS
106,UROPHYCIS TENUIS
107,UROPHYCIS TENUIS
108,UROPHYCIS TENUIS
109,UROPHYCIS TENUIS
110,UROPHYCIS TENUIS
111,UROPHYCIS TENUIS
112,UROPHYCIS TENUIS
113,UROPHYCIS TENUIS
114,UROPHYCIS TENUIS
115,UROPHYCIS TENUIS
116,UROPHYCIS TENUIS
117,UROPHYCIS TENUIS
118,UROPHYCIS TENUIS
119,UROPHYCIS TENUIS
120,UROPHYCIS TENUIS
121,UROPHYCIS TENUIS
122,UROPHYCIS TENUIS
123,UROPHYCIS TENUIS
124,UROPHYCIS TENUIS
125,UROPHYCIS TENUIS
126,UROPHYCIS TENUIS
127,UROPHYCIS TENUIS
128,UROPHYCIS TENUIS
129,UROPHYCIS TENUIS
130,UROPHYCIS TENUIS
131,UROPHYCIS TENUIS
132,UROPHYCIS TENUIS
133,UROPHYCIS TENUIS
134,UROPHYCIS TENUIS
135,UROPHYCIS TENUIS
136,UROPHYCIS TENUIS
137,UROPHYCIS TENUIS
138,UROPHYCIS TENUIS
139,UROPHYCIS TENUIS
140,UROPHYCIS TENUIS
141,UROPHYCIS TENUIS
142,UROPHYCIS TENUIS
143,UROPHYCIS TENUIS
144,UROPHYCIS TENUIS
145,UROPHYCIS TENUIS
146,UROPHYCIS TENUIS
147,UROPHYCIS TENUIS
148,UROPHYCIS TENUIS
149,UROPHYCIS TENUIS
150,UROPHYCIS TENUIS
151,UROPHYCIS TENUIS
152,UROPHYCIS TENUIS
153,MERLUCCIUS BILINEARIS
154,MERLUCCIUS BILINEARIS
155,MERLUCCIUS BILINEARIS
156,MERLUCCIUS BILINEARIS
157,MERLUCCIUS BILINEARIS
158,MERLUCCIUS BILINEARIS
159,MERLUCCIUS BILINEARIS
160,MERLUCCIUS BILINEARIS
161,MERLUCCIUS BILINEARIS
162,MERLUCCIUS BILINEARIS
163,MERLUCCIUS BILINEARIS
164,MERLUCCIUS BILINEARIS
165,MERLUCCIUS BILINEARIS
166,MERLUCCIUS BILINEARIS
167,MERLUCCIUS BILINEARIS
168,MERLUCCIUS BILINEARIS
169,MERLUCCIUS BILINEARIS
170,MERLUCCIUS BILINEARIS
171,MERLUCCIUS BILINEARIS
172,MERLUCCIUS BILINEARIS
173,MERLUCCIUS BILINEARIS
174,MERLUCCIUS BILINEARIS
175,MERLUCCIUS BILINEARIS
176,MERLUCCIUS BILINEARIS
177,MERLUCCIUS BILINEARIS
178,MERLUCCIUS BILINEARIS
179,MERLUCCIUS BILINEARIS
180,MERLUCCIUS BILINEARIS
181,MERLUCCIUS BILINEARIS
182,MERLUCCIUS BILINEARIS
183,MERLUCCIUS BILINEARIS
184,MERLUCCIUS BILINEARIS
185,MERLUCCIUS BILINEARIS
186,MERLUCCIUS BILINEARIS
187,MERLUCCIUS BILINEARIS
188,MERLUCCIUS BILINEARIS
189,MERLUCCIUS BILINEARIS
190,MERLUCCIUS BILINEARIS
191,MERLUCCIUS BILINEARIS
192,MERLUCCIUS BILINEARIS
193,MERLUCCIUS BILINEARIS
194,MERLUCCIUS BILINEARIS
195,MERLUCCIUS BILINEARIS
196,MERLUCCIUS BILINEARIS
197,MERLUCCIUS BILINEARIS
198,MERLUCCIUS BILINEARIS
199,MERLUCCIUS BILINEARIS
200,MERLUCCIUS BILINEARIS
201,MERLUCCIUS BILINEARIS
202,MERLUCCIUS BILINEARIS
203,MERLUCCIUS BILINEARIS
204,MERLUCCIUS BILINEARIS
205,MERLUCCIUS BILINEARIS
206,MERLUCCIUS BILINEARIS
207,MERLUCCIUS BILINEARIS
208,MERLUCCIUS BILINEARIS
209,POLLACHIUS VIRENS
210,SEBASTES
211,SEBASTES
212,SEBASTES
213,SEBASTES
214,SEBASTES
215,SEBASTES
216,SEBASTES
217,SEBASTES
218,SEBASTES
219,SEBASTES
220,SEBASTES
221,SEBASTES
222,SEBASTES
223,SEBASTES
224,SEBASTES
225,SEBASTES
226,SEBASTES
227,SEBASTES
228,SEBASTES
229,SEBASTES
230,SEBASTES
231,SEBASTES
232,SEBASTES
233,SEBASTES
234,SEBASTES
235,SEBASTES
236,SEBASTES
237,SEBASTES
238,SEBASTES
239,SEBASTES
240,SEBASTES
241,SEBASTES
242,SEBASTES
243,SEBASTES
244,SEBASTES
245,SEBASTES
246,SEBASTES
247,SEBASTES
248,SEBASTES
249,SEBASTES
250,SEBASTES
251,SEBASTES
252,SEBASTES
253,SEBASTES
254,SEBASTES
255,SEBASTES
256,SEBASTES
257,SEBASTES
258,SEBASTES
259,SEBASTES
260,SEBASTES
261,SEBASTES
262,SEBASTES
263,SEBASTES
264,SEBASTES
265,SEBASTES
266,SEBASTES
267,SEBASTES
268,SEBASTES
269,SEBASTES
270,SEBASTES
271,SEBASTES
272,SEBASTES
273,SEBASTES
274,SEBASTES
275,SEBASTES
276,SEBASTES
277,SEBASTES
278,SEBASTES
279,SEBASTES
280,SEBASTES
281,SEBASTES
282,SEBASTES
283,SEBASTES
284,SEBASTES
285,SEBASTES
286,SEBASTES
287,SEBASTES
288,SEBASTES
289,SEBASTES
290,SEBASTES
291,SEBASTES
292,SEBASTES
293,SEBASTES
294,SEBASTES
295,SEBASTES
296,SEBASTES
297,SEBASTES
298,SEBASTES
299,SEBASTES
300,SEBASTES
301,SEBASTES
302,SEBASTES
303,SEBASTES
304,SEBASTES
305,SEBASTES
306,SEBASTES
307,SEBASTES
308,SEBASTES
309,SEBASTES
310,SEBASTES
311,SEBASTES
312,SEBASTES
313,SEBASTES
314,SEBASTES
315,SEBASTES
316,SEBASTES
317,SEBASTES
318,HIPPOGLOSSUS HIPPOGLOSSUS
319,HIPPOGLOSSUS HIPPOGLOSSUS
320,HIPPOGLOSSUS HIPPOGLOSSUS
321,HIPPOGLOSSUS HIPPOGLOSSUS
322,HIPPOGLOSSUS HIPPOGLOSSUS
323,HIPPOGLOSSUS HIPPOGLOSSUS
324,REINHARDTIUS HIPPOGLOSSOIDES
325,REINHARDTIUS HIPPOGLOSSOIDES
326,REINHARDTIUS HIPPOGLOSSOIDES
327,REINHARDTIUS HIPPOGLOSSOIDES
328,REINHARDTIUS HIPPOGLOSSOIDES
329,REINHARDTIUS HIPPOGLOSSOIDES
330,REINHARDTIUS HIPPOGLOSSOIDES
331,REINHARDTIUS HIPPOGLOSSOIDES
332,REINHARDTIUS HIPPOGLOSSOIDES
333,REINHARDTIUS HIPPOGLOSSOIDES
334,REINHARDTIUS HIPPOGLOSSOIDES
335,REINHARDTIUS HIPPOGLOSSOIDES
336,REINHARDTIUS HIPPOGLOSSOIDES
337,REINHARDTIUS HIPPOGLOSSOIDES
338,REINHARDTIUS HIPPOGLOSSOIDES
339,REINHARDTIUS HIPPOGLOSSOIDES
340,REINHARDTIUS HIPPOGLOSSOIDES
341,REINHARDTIUS HIPPOGLOSSOIDES
342,REINHARDTIUS HIPPOGLOSSOIDES
