"year","SPECCD_ID","Inside","numcaught","wt"
"1",2015,"Alligatorfish",TRUE,10,0.4
"2",2015,"American Plaice",FALSE,151,11.8
"3",2015,"American Plaice",TRUE,304,23.6
"4",2015,"Anemones",FALSE,18,3.1
"5",2015,"Anemones",TRUE,61,2.8
"6",2015,"Arctic Eelpout",FALSE,2,0.3
"7",2015,"Atlantic Cod",FALSE,12,7.4
"8",2015,"Atlantic Cod",TRUE,147,38.1
"9",2015,"Atlantic Sea Poacher",FALSE,1,0.1
"10",2015,"Basket Star",FALSE,22,4.4
"11",2015,"Basket Star",TRUE,34,4.8
"12",2015,"Blood Star",FALSE,7,0.3
"13",2015,"Blood Star",TRUE,11,0.4
"14",2015,"Bobtail Squid",FALSE,6,0.3
"15",2015,"Bobtail Squid",TRUE,5,0.3
"16",2015,"Bristle Worm",TRUE,2,0.2
"17",2015,"Brittle Star",FALSE,14,0.3
"18",2015,"Brittle Star",TRUE,264,1.4
"19",2015,"Coral NS",TRUE,4,0.2
"20",2015,"Daubed Shanny",FALSE,1,0.1
"21",2015,"Eelpouts",FALSE,2,0.2
"22",2015,"Eelpouts",TRUE,12,1.5
"23",2015,"Fourbeard Rockling",FALSE,9,0.5
"24",2015,"Fourbeard Rockling",TRUE,5,0.3
"25",2015,"Fourline Snakeblenny",TRUE,4,0.3
"26",2015,"Halibut",FALSE,2,10.9
"27",2015,"Hermit Crab",FALSE,12,0.4
"28",2015,"Hermit Crab",TRUE,21,0.5
"29",2015,"Herring",FALSE,2,0.4
"30",2015,"Herring",TRUE,4,0.6
"31",2015,"Horse Star",FALSE,9,1.5
"32",2015,"Horse Star",TRUE,42,5.1
"33",2015,"Icelandic Scallop",TRUE,5,0.5
"34",2015,"Jellyfish",FALSE,5,0.3
"35",2015,"Jellyfish",TRUE,11,0.9
"36",2015,"Lesser Toad Crab",TRUE,26,1.645
"37",2015,"Longfin Hake",FALSE,52,4.1
"38",2015,"Longfin Hake",TRUE,169,11.2
"39",2015,"Mackerel",TRUE,1,0.1
"40",2015,"Marlinspike Grenadier",FALSE,29,0.7
"41",2015,"Marlinspike Grenadier",TRUE,79,2.5
"42",2015,"Monkfish",FALSE,2,12.5
"43",2015,"Monkfish",TRUE,2,15.2
"44",2015,"Mud Star",FALSE,371,2.9
"45",2015,"Mud Star",TRUE,263,1.5
"46",2015,"Northern Stone Crab",FALSE,21,3.941
"47",2015,"Northern Stone Crab",TRUE,17,3.167
"48",2015,"Octopus",FALSE,7,0.2
"49",2015,"Octopus",TRUE,6,0.4
"50",2015,"Purple Sunstar",FALSE,3,0.8
"51",2015,"Purple Sunstar",TRUE,3,0.4
"52",2015,"Redfish spp.",FALSE,63,9.2
"53",2015,"Redfish spp.",TRUE,4564,291.8
"54",2015,"Sand Dollar",TRUE,4,0.2
"55",2015,"Sculpin NS",FALSE,1,0.1
"56",2015,"Sculpin NS",TRUE,25,0.6
"57",2015,"Sculpins",TRUE,57,1.9
"58",2015,"Sea Cucumbers",TRUE,19,7
"59",2015,"Sea Pen",FALSE,268,1.2
"60",2015,"Sea Pen",TRUE,2550,7
"61",2015,"Sea Potato",FALSE,1,0.1
"62",2015,"Sea Potato",TRUE,314,13.4
"63",2015,"Sea Spider",TRUE,9,0.4
"64",2015,"Sea Squirts",TRUE,1,0.1
"65",2015,"Sea Stars",FALSE,27,0.9
"66",2015,"Sea Stars",TRUE,71,2.1
"67",2015,"Sea Urchin",TRUE,54,1.2
"68",2015,"Seaweeds",FALSE,5,0.3
"69",2015,"Seaweeds",TRUE,7,0.5
"70",2015,"Shortfin Squid",FALSE,1,0.1
"71",2015,"Shortfin Squid",TRUE,1,0.1
"72",2015,"Shrimp",FALSE,474,4.68
"73",2015,"Shrimp",TRUE,215,2.8
"74",2015,"Silver Hake",FALSE,1,0.1
"75",2015,"Silver Hake",TRUE,3,0.3
"76",2015,"Skate Eggs",FALSE,10,0.2
"77",2015,"Skate Eggs",TRUE,1,0.1
"78",2015,"Smooth Skate",FALSE,5,2.5
"79",2015,"Smooth Skate",TRUE,15,3.5
"80",2015,"Snailfish spp.",TRUE,1,0.1
"81",2015,"Snow Crab",FALSE,121,3.086
"82",2015,"Snow Crab",TRUE,309,11.826
"83",2015,"Spiny Lumpsucker",TRUE,2,0.2
"84",2015,"Spiny Sunstar",TRUE,11,0.6
"85",2015,"Sponges",FALSE,31,1
"86",2015,"Sponges",TRUE,566,32.8
"87",2015,"Striped Atlantic Wolffish",TRUE,20,2.2
