,COMM,Median_Length,Mean_Length,Length_SD,Median_Weight,Mean_Weight,Weight_SD
1,4-LINE SNAKE BLENNY,17,16.625,1.92260983338497,44,40.5,12.3409886151799
2,ALEWIFE,26,26,NA,127,127,NA
3,ALLIGATOR FISH,12,11.1428571428571,2.97129120561608,3,3.66666666666667,2.00831604418561
4,AMERICAN PLAICE,18,19.4528224145035,6.54810810630295,45,73.8895271763146,85.2431337854086
5,APHIA IS FOR GENUS; WAS TOSSIA,NA,NA,NA,NA,NA,NA
6,ARCTIC EELPOUT,34,34,NA,206,206,NA
7,ARCTIC STAGHORN SCULPIN,18,18.5,3.41565025531987,60,57,14.7309198626562
8,ARGENTINE ATLANTIC,NA,NA,NA,NA,NA,NA
9,ATLANTIC ROCK CRAB,132,128.333333333333,6.35085296108588,NA,NA,NA
10,ATLANTIC SAURY,NEEDLEFISH,NA,NA,NA,NA,NA,NA
11,ATLANTIC SEA POACHER,19,19.3529411764706,1.0410470527944,24.5,24.2352941176471,4.0754908500019
12,ATLANTIC SPINY LUMPSUCKER,5,5,1,7,11.6666666666667,8.08290376865476
13,ATLANTIC TORPEDO; TORPEDO,NA,NA,NA,NA,NA,NA
14,BANK CLAM,NA,NA,NA,NA,NA,NA
15,BARNACLES,NA,NA,NA,NA,NA,NA
16,BARNDOOR SKATE,NA,NA,NA,NA,NA,NA
17,BASKET STARS; GORGONOCEPHALIDAE,ASTERONYCHIDAE,NA,NA,NA,NA,NA,NA
18,BLOOD STAR,NA,NA,NA,NA,NA,NA
19,BRISTLE WORMS,NA,NA,NA,NA,NA,NA
20,BRITTLE STAR,NA,NA,NA,NA,NA,NA
21,BUCCINIDAE/WHELK EGGS,NA,NA,NA,NA,NA,NA
22,CAPELIN,NA,NA,NA,NA,NA,NA
23,COCKLES,NA,NA,NA,NA,NA,NA
24,COD ATLANTIC,31,31.8497023809524,9.27183610563254,269,352.336322869955,298.971408640796
25,DAUBED SHANNY; LUMPENUS,13,11.8,1.78885438199983,6,5.6,2.30217288664427
26,EELPOUT,NEWFOUNDLAND; INCL LYCODES ATLANTICUS; TERRAENOVA,39,37,3.46410161513775,306,274.333333333333,75.6461058702517
27,EELPOUTS,31,31,NA,90,90,NA
28,FOURBEARD ROCKLING,22,21.3,4.85689959585439,51,49.3,27.568288418322
29,GIANT CANOE BUBBLE,NA,NA,NA,NA,NA,NA
30,GRUBBY OR LITTLE SCULPIN,6,6,0,3,3,0
31,HADDOCK,23,23,NA,115,115,NA
32,HALIBUT ATLANTIC,54,57.5,24.1453929352993,1746.5,3007.75,3602.66071813597
33,HEART URCHIN,NA,NA,NA,NA,NA,NA
34,HERMIT CRABS,NA,NA,NA,NA,NA,NA
35,HERRING ATLANTIC,19,21.6724137931034,4.21937024915514,58,95.3103448275862,61.4318069785591
36,HOOKEAR SCULPIN,18,16.375,6.0978138158961,75.5,73.75,50.5272203866391
37,HOOKEAR SCULPIN,ATL.,17.5,18.1,3.28125992061992,62,72.9,42.2649053260767
38,ICELAND SCALLOP,NA,NA,NA,NA,NA,NA
39,INCL THYONE UNISEMITA; THYONE,NA,NA,NA,NA,NA,NA
40,ISOPOD; BRANCHIATA,NA,NA,NA,NA,NA,NA
41,JELLYFISHES,NA,NA,NA,NA,NA,NA
42,JONAH CRAB,125,120.857142857143,24.5657523897842,NA,NA,NA
43,LAMPSHELLS,NA,NA,NA,NA,NA,NA
44,LAVAL'S EELPOUT,41,41,NA,395,395,NA
