"SPEC","total","wt"
"1","",8,0.6
"2","ACTINIARIA",89,3.1
"3","AGONIDAE",1,0.1
"4","AMBLYRAJA RADIATA",63,22.9
"5","ANARHICHAS LUPUS",17,5.4
"6","ANTHOZOA",6,0.6
"7","ASCIDIA",7,0.2
"8","ASTEROIDEA",212,5.4
"9","BOLTENIA",209,8.9
"10","BRISASTER FRAGILIS",1,0.1
"11","BUCCINUM",51,1.7
"12","CANCER BOREALIS",3,0.666
"13","CAUDINA ARENATA",116,4.1
"14","CHIONOECETES OPILIO",311,37.365
"15","CHLAMYS ISLANDICA",7,0.4
"16","CLUPEA HARENGUS",30,4.7
"17","CLYPEASTEROIDA",86,2
"18","CROSSASTER PAPPOSUS",23,1.7
"19","CTENODISCUS CRISPATUS",374,3.6
"20","CUCUMARIA FRONDOSA",20,8
"21","ENCHELYOPUS CIMBRIUS",3,0.3
"22","EUMESOGRAMMUS PRAECISUS",2,0.2
"23","EUMICROTREMUS SPINOSUS",1,0.1
"24","EURYALIDA",98,17.9
"25","FLUSTRA FOLIACEA",4,0.5
"26","GADUS MORHUA",225,82.2
"27","GLYPTOCEPHALUS CYNOGLOSSUS",1292,248.68
"28","GYMNOCANTHUS TRICUSPIS",15,1.2
"29","HENRICIA SANGUINOLENTA",16,0.7
"30","HIPPASTERIA PHRYGIANA",179,28
"31","HIPPOGLOSSOIDES PLATESSOIDES",368,24.7
"32","HIPPOGLOSSUS HIPPOGLOSSUS",1,0.9
"33","HYAS COARCTATUS",29,3.373
"34","LEPTAGONUS DECAGONUS",1,0.1
"35","LEPTASTERIAS (HEXASTERIAS) POLARIS",3,0.1
"36","LITHODES MAJA",81,8.593
"37","LOPHIUS AMERICANUS",3,8.6
"38","LYCODES",2,0.4
"39","LYCODES TERRAENOVAE",3,0.9
"40","LYCODES VAHLII",3,0.3
"41","MALACORAJA SENTA",45,15
"42","MERLUCCIUS BILINEARIS",46,5.4
"43","MYOXOCEPHALUS OCTODECEMSPINOSUS",2,0.4
"44","MYXINE LIMOSA",1,0.1
"45","MYZOPSETTA FERRUGINEA",11,1.3
"46","NEZUMIA BAIRDII",73,2.5
"47","OCTOPODA",13,0.8
"48","OPHIUROIDEA",28,0.4
"49","PAGURIDAE",5,0.4
"50","PANDALUS BOREALIS",21,0.5
"51","PANDALUS MONTAGUI",19,0.6
"52","PENNATULOIDEA",1275,3.1
"53","PHYCIS CHESTERI",34,3.3
"54","POLLACHIUS VIRENS",1,0.1
"55","PORIFERA",348,4.5
"56","PTERASTER MILITARIS",2,0.2
"57","REINHARDTIUS HIPPOGLOSSOIDES",3,2.4
"58","SCLEROCRANGON",5,0.2
"59","SEBASTES",984,197.8
"60","SOLASTER ENDECA",4,0.6
"61","STRONGYLOCENTROTUS DROEBACHIENSIS",154,7.9
"62","TRIGLOPS PINGELII",1,0.1
"63","UROPHYCIS TENUIS",62,31.5
"64",NA,11,0.7
