"Class","Family","Genus","Kingdom","Order","Phylum","Species","aphiaID","common"
"Teleostei","Gadidae","Gadus","Animalia","Gadiformes","Chordata","Gadus morhua",126436,"Atlantic cod"
"Teleostei","Merlucciidae","Merluccius","Animalia","Gadiformes","Chordata","Merluccius bilinearis",158962,"silver hake"
"Teleostei","Sebastidae","Sebastes","Animalia","Perciformes","Chordata",NA,126175,NA
"Teleostei","Pleuronectidae","Reinhardtius","Animalia","Pleuronectiformes","Chordata","Reinhardtius hippoglossoides",127144,"Greenland flounder"
"Teleostei","Pleuronectidae","Hippoglossoides","Animalia","Pleuronectiformes","Chordata","Hippoglossoides platessoides",127137,"American plaice"
"Teleostei","Pleuronectidae","Glyptocephalus","Animalia","Pleuronectiformes","Chordata","Glyptocephalus cynoglossus",127136,"witch"
"Teleostei","Anarhichadidae","Anarhichas","Animalia","Perciformes","Chordata","Anarhichas lupus",126758,"Atlantic wolffish"
"Teleostei","Lotidae","Enchelyopus","Animalia","Gadiformes","Chordata","Enchelyopus cimbrius",126450,"fourbeard rockling"
"Elasmobranchii","Rajidae","Amblyraja","Animalia","Rajiformes","Chordata","Amblyraja radiata",105865,"thorny skate"
"Teleostei","Zoarcidae","Lycodes","Animalia","Perciformes","Chordata",NA,126104,NA
"Malacostraca","Pandalidae","Pandalus","Animalia","Decapoda","Arthropoda","Pandalus montagui",107651,NA
"Malacostraca","Lithodidae","Lithodes","Animalia","Decapoda","Arthropoda","Lithodes maja",107205,NA
"Malacostraca","Oregoniidae","Chionoecetes","Animalia","Decapoda","Arthropoda","Chionoecetes opilio",107315,"snow crab"
"Malacostraca","Paguridae",NA,"Animalia","Decapoda","Arthropoda",NA,106738,NA
"Gastropoda","Buccinidae","Buccinum","Animalia","Neogastropoda","Mollusca",NA,137701,NA
"Cephalopoda","Sepiolidae","Semirossia","Animalia","Sepiida","Mollusca","Semirossia tenera",157036,NA
"Asteroidea",NA,NA,"Animalia",NA,"Echinodermata",NA,123080,NA
"Asteroidea","Ctenodiscidae","Ctenodiscus","Animalia","Paxillosida","Echinodermata","Ctenodiscus crispatus",123915,NA
"Asteroidea","Goniasteridae","Hippasteria","Animalia","Valvatida","Echinodermata","Hippasteria phrygiana",124043,NA
"Anthozoa",NA,NA,"Animalia","Actiniaria","Cnidaria",NA,1360,NA
"Scyphozoa",NA,NA,"Animalia",NA,"Cnidaria",NA,135220,NA
NA,NA,NA,"Animalia",NA,"Porifera",NA,558,NA
"Teleostei","Cottidae","Myoxocephalus","Animalia","Perciformes","Chordata","Myoxocephalus aenaeus",159519,"grubby sculpin"
"Teleostei","Agonidae",NA,"Animalia","Perciformes","Chordata",NA,125588,NA
"Ascidiacea","Pyuridae","Boltenia","Animalia","Stolidobranchia","Chordata",NA,103514,NA
"Malacostraca","Crangonidae","Crangon","Animalia","Decapoda","Arthropoda",NA,107007,NA
"Polychaeta",NA,NA,"Animalia",NA,"Annelida",NA,883,NA
"Pycnogonida",NA,NA,"Animalia",NA,"Arthropoda",NA,1302,NA
"Asteroidea","Echinasteridae","Henricia","Animalia","Spinulosida","Echinodermata","Henricia sanguinolenta",123974,NA
"Asteroidea","Solasteridae","Solaster","Animalia","Valvatida","Echinodermata","Solaster endeca",124160,NA
"Ophiuroidea",NA,NA,"Animalia",NA,"Echinodermata",NA,123084,NA
"Anthozoa",NA,NA,"Animalia",NA,"Cnidaria",NA,1292,NA
