"Kingdom","Phylum","Class","Order","Family","Genus","Species","aphiaID","species_filter","common"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes americanus",159587,159587,"American sand lance"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius",151520,151520,"Northern sand lance"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus",126417,126417,"Atlantic herring"
"Animalia","Chordata","Teleostei","Perciformes","Lumpenidae","Lumpenus","Lumpenus lampretaeformis",154675,154675,"Snake blenny"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius",127203,127203,"Bull rout"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus",126996,126996,"Butterfish"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber","Scomber scombrus",127023,127023,"Atlantic mackerel"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes fasciatus",127252,127252,"Acadian redfish"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes viviparus",127255,127255,"Norway haddock"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Tautogolabrus","Tautogolabrus adspersus",159785,159785,"Bait-stealer"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa aestivalis",158667,158667,"Blueback herring"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa pseudoharengus",158669,158669,"Alewife"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata",105865,105865,"Starry ray"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus",126757,126757,"Jelly cat"
"Animalia","Chordata","Teleostei","Perciformes","Lumpenidae","Anisarchus","Anisarchus medius",127070,127070,"Middle snake blenny"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus atlanticus",127193,127193,"Atlantic hookear sculpin"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus uncinatus",127195,127195,"Arctic hookear sculpin"
"Animalia","Chordata","Teleostei","Perciformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius",159459,159459,"Aleutian alligatorfish"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata",137087,137087,"Bagwhale"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus",137091,137091,"Big finner"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias",105838,105838,"Anchovy-eater"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii",158707,158707,"White sucker"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus",105837,105837,"Basking shark"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis",137094,137094,"Common dolphin"
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius",126450,126450,"Fourbeard rockling"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena","Eubalaena glacialis",159023,159023,"Biscayan right whale"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus",159817,159817,"Fourline snakeblenny"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua",126436,126436,"Atlantic cod"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","Globicephala melas",137097,137097,"American black-fish"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus",274287,274287,"Rex sole"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis",127198,127198,"Arctic staghorn sculpin"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides",127137,127137,"American plaice"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus",105839,105839,"Atlantic mako shark"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus acutus",137100,137100,"Atlantic white-sided dolphin"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus",105841,105841,"(common) Atlantic mackerel shark"
"Animalia","Chordata","Teleostei","Perciformes","Lumpenidae","Leptoclinus","Leptoclinus maculatus",127072,127072,"Daubed shanny"
"Animalia","Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis liparis",127219,127219,"Sea snail"
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius americanus",159184,159184,"American angler"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Malacoraja","Malacoraja kreffti",105877,105877,"Kreffts Rochen"
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus",126735,126735,"Capelin"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae",137092,137092,"Bunch whale"
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis",158962,158962,"Atlantic hake"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt",127140,127140,"Lemon sole"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus",159520,159520,"Longhorn sculpin"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Myzopsetta","Myzopsetta ferruginea",1571969,1571969,NA
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Myzopsetta","Myzopsetta proboscidea",319505,319505,NA
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax",126737,126737,"Rainbow smelt"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","Phocoena phocoena",137117,137117,"Bay porpoise"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis crassispina",273687,273687,"タケギンポ"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens",126441,126441,"Billet"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus",158885,158885,"Black backs"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus",159819,159819,"Arctic shanny"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus","Thunnus thynnus",127029,127029,"Atlantic bluefin tuna"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Triglops","Triglops murrayi",127205,127205,"Mailed sculpin"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus",137111,137111,"Black porpoise"
"Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis tenuis",126504,126504,"Boston ling"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces americanus",159267,159267,"Ocean pout"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus",105836,105836,"Common thresher"
"Animalia","Chordata","Teleostei","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone microdon",127286,127286,"Veiled anglemouth"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Hyperoodon","Hyperoodon ampullatus",343899,343899,"Bottle-head"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea",158551,158551,"Common skate"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes lavalaei",127107,127107,"Laval's eelpout"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus",126437,126437,"Haddock"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Paraplagusia","Paraplagusia japonica",278660,278660,"クロウシノシタ"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa fallax",126415,126415,"Shad"
"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina silus",126715,126715,"Argentine"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Auxis","Auxis rochei",127015,127015,"Bonito"
