"COMM","SPEC","species_filter"
"COD ATLANTIC","GADUS MORHUA","GADUS MORHUA"
"SILVER HAKE","MERLUCCIUS BILINEARIS","MERLUCCIUS BILINEARIS"
"REDFISH UNSEPARATED","SEBASTES","SEBASTES"
"TURBOT,GREENLAND HALIBUT","REINHARDTIUS HIPPOGLOSSOIDES","REINHARDTIUS HIPPOGLOSSOIDES"
"AMERICAN PLAICE","HIPPOGLOSSOIDES PLATESSOIDES","HIPPOGLOSSOIDES PLATESSOIDES"
"WITCH FLOUNDER","GLYPTOCEPHALUS CYNOGLOSSUS","GLYPTOCEPHALUS CYNOGLOSSUS"
"STRIPED ATLANTIC WOLFFISH","ANARHICHAS LUPUS","ANARHICHAS LUPUS"
"FOURBEARD ROCKLING","ENCHELYOPUS CIMBRIUS","ENCHELYOPUS CIMBRIUS"
"THORNY SKATE","AMBLYRAJA RADIATA","AMBLYRAJA RADIATA"
"EELPOUTS","LYCODES","LYCODES"
NA,"PANDALUS MONTAGUI","PANDALUS MONTAGUI"
"NORTHERN STONE CRAB","LITHODES MAJA","LITHODES MAJA"
"SNOW CRAB  QUEEN; INCL CHIONOECETES SP","CHIONOECETES OPILIO","CHIONOECETES OPILIO"
"HERMIT CRABS","PAGURIDAE","PAGURIDAE"
"WHELKS","BUCCINUM","BUCCINUM"
NA,"SEMIROSSIA TENERA","SEMIROSSIA TENERA"
NA,"ASTEROIDEA","ASTEROIDEA"
"MUD STAR","CTENODISCUS CRISPATUS","CTENODISCUS CRISPATUS"
NA,"HIPPASTERIA PHRYGIANA","HIPPASTERIA PHRYGIANA"
"SEA ANEMONE; WAS ANTHOZOA","ACTINIARIA","ACTINIARIA"
"JELLYFISHES","SCYPHOZOA","SCYPHOZOA"
"SPONGES","PORIFERA","PORIFERA"
"GRUBBY OR LITTLE SCULPIN","MYOXOCEPHALUS AENAEUS","MYOXOCEPHALUS AENAEUS"
"ALLIGATOR FISH","AGONIDAE","AGONIDAE"
"SEA POTATO","BOLTENIA","BOLTENIA"
NA,"CRANGON","CRANGON"
"BRISTLE WORMS","POLYCHAETA","POLYCHAETA"
"SEA SPIDER","PYCNOGONIDA","PYCNOGONIDA"
"BLOOD STAR","HENRICIA SANGUINOLENTA","HENRICIA SANGUINOLENTA"
"PURPLE SUNSTAR","SOLASTER ENDECA","SOLASTER ENDECA"
"BRITTLE STAR","OPHIUROIDEA","OPHIUROIDEA"
NA,"ANTHOZOA","ANTHOZOA"
"SEAWEED, ALGAE ,KELP; THALLOPHYTA",NA,"SEAWEED, ALGAE ,KELP; THALLOPHYTA"
"4-LINE SNAKE BLENNY","EUMESOGRAMMUS PRAECISUS","EUMESOGRAMMUS PRAECISUS"
"TOAD CRAB","HYAS ARANEUS","HYAS ARANEUS"
"SPINY SUNSTAR","CROSSASTER PAPPOSUS","CROSSASTER PAPPOSUS"
"BASKET STARS; GORGONOCEPHALIDAE,ASTERONYCHIDAE","EURYALIDA","EURYALIDA"
"SEA URCHIN  GREEN","STRONGYLOCENTROTUS DROEBACHIENSIS","STRONGYLOCENTROTUS DROEBACHIENSIS"
NA,"HOLOTHUROIDEA","HOLOTHUROIDEA"
"HERRING ATLANTIC","CLUPEA HARENGUS","CLUPEA HARENGUS"
"SHORTHORN SCULPIN","MYOXOCEPHALUS SCORPIUS","MYOXOCEPHALUS SCORPIUS"
"RIBBED SCULPIN; PINGELI","TRIGLOPS PINGELII","TRIGLOPS PINGELII"
"SEASNAIL UNIDENTIFIED","LIPARIS","LIPARIS"
NA,"SPIRONTOCARIS SPINUS","SPIRONTOCARIS SPINUS"
NA,"SCLEROCRANGON","SCLEROCRANGON"
NA,"HYAS COARCTATUS","HYAS COARCTATUS"
"ICELAND SCALLOP","CHLAMYS ISLANDICA","CHLAMYS ISLANDICA"
NA,"MEDIASTER BAIRDI","MEDIASTER BAIRDI"
"MACKEREL ATLANTIC","SCOMBER SCOMBRUS","SCOMBER SCOMBRUS"
"ATLANTIC SPINY LUMPSUCKER","EUMICROTREMUS SPINOSUS","EUMICROTREMUS SPINOSUS"
"SHORTTAILED EELPOUT VAHL","LYCODES VAHLII","LYCODES VAHLII"
"SMOOTH SKATE","MALACORAJA SENTA","MALACORAJA SENTA"
"SEA SQUIRTS","ASCIDIA","ASCIDIA"
NA,"PANDALUS BOREALIS","PANDALUS BOREALIS"
"SAND DOLLARS","CLYPEASTEROIDA","CLYPEASTEROIDA"
"WHITE HAKE","UROPHYCIS TENUIS","UROPHYCIS TENUIS"
"LONGFIN HAKE; UROPHYCIS","PHYCIS CHESTERI","PHYCIS CHESTERI"
"MARLIN-SPIKE GRENADIER","NEZUMIA BAIRDII","NEZUMIA BAIRDII"
"RAJA/SKATE EGGS",NA,"RAJA/SKATE EGGS"
"SHORT-FIN SQUID","ILLEX ILLECEBROSUS","ILLEX ILLECEBROSUS"
"OCTOPUS","OCTOPODA","OCTOPODA"
"SEA PEN; PENNATULACEA","PENNATULOIDEA","PENNATULOIDEA"
"MONKFISH,GOOSEFISH,ANGLER","LOPHIUS AMERICANUS","LOPHIUS AMERICANUS"
NA,"SPIRONTOCARIS LILJEBORGII","SPIRONTOCARIS LILJEBORGII"
NA,"PONTOPHILUS NORVEGICUS","PONTOPHILUS NORVEGICUS"
"HEART URCHIN","BRISASTER FRAGILIS","BRISASTER FRAGILIS"
"APHIA IS FOR GENUS; WAS TOSSIA","PENTAGONASTER","PENTAGONASTER"
NA,"PORANIOMORPHA (PORANIOMORPHA) HISPIDA","PORANIOMORPHA (PORANIOMORPHA) HISPIDA"
"ARCTIC EELPOUT","LYCODES RETICULATUS","LYCODES RETICULATUS"
NA,"LEPTASTERIAS (HEXASTERIAS) POLARIS","LEPTASTERIAS (HEXASTERIAS) POLARIS"
"HALIBUT ATLANTIC","HIPPOGLOSSUS HIPPOGLOSSUS","HIPPOGLOSSUS HIPPOGLOSSUS"
"YELLOWTAIL FLOUNDER; LIMANDA","MYZOPSETTA FERRUGINEA","MYZOPSETTA FERRUGINEA"
"LONGHORN SCULPIN","MYOXOCEPHALUS OCTODECEMSPINOSUS","MYOXOCEPHALUS OCTODECEMSPINOSUS"
"ATLANTIC SEA POACHER","LEPTAGONUS DECAGONUS","LEPTAGONUS DECAGONUS"
"DAUBED SHANNY; LUMPENUS","LEPTOCLINUS MACULATUS","LEPTOCLINUS MACULATUS"
"BUCCINIDAE/WHELK EGGS",NA,"BUCCINIDAE/WHELK EGGS"
"ATLANTIC ROCK CRAB","CANCER IRRORATUS","CANCER IRRORATUS"
"SEA URCHINS","STRONGYLOCENTROTUS","STRONGYLOCENTROTUS"
"MAILED SCULPIN","TRIGLOPS MURRAYI","TRIGLOPS MURRAYI"
NA,"ARGIS DENTATA","ARGIS DENTATA"
"BARNACLES","CIRRIPEDIA","CIRRIPEDIA"
"SPOTTED WOLFFISH","ANARHICHAS MINOR","ANARHICHAS MINOR"
"JONAH CRAB","CANCER BOREALIS","CANCER BOREALIS"
"HOOKEAR SCULPIN,ATL.","ARTEDIELLUS ATLANTICUS","ARTEDIELLUS ATLANTICUS"
"ATLANTIC SAURY,NEEDLEFISH","SCOMBERESOX SAURUS","SCOMBERESOX SAURUS"
"PALE EELPOUT","LYCODES PALLIDUS","LYCODES PALLIDUS"
"SEA MOUSE","APHRODITA HASTATA","APHRODITA HASTATA"
NA,"PASIPHAEA MULTIDENTATA","PASIPHAEA MULTIDENTATA"
"SNOWFLAKE HOOKEAR SCULPIN","ARTEDIELLUS UNCINATUS","ARTEDIELLUS UNCINATUS"
"SEA SLUGS","NUDIBRANCHIA","NUDIBRANCHIA"
"SHRIMPS","DECAPODA","DECAPODA"
"HOOKEAR SCULPIN","ARTEDIELLUS","ARTEDIELLUS"
NA,"PTERASTER MILITARIS","PTERASTER MILITARIS"
"SEA SCALLOP","PLACOPECTEN MAGELLANICUS","PLACOPECTEN MAGELLANICUS"
NA,"ASTERIAS RUBENS","ASTERIAS RUBENS"
"SNAKE BLENNY; LUMPRETAEFORMIS","LUMPENUS LAMPRETAEFORMIS","LUMPENUS LAMPRETAEFORMIS"
NA,"ASTERIAS","ASTERIAS"
"ISOPOD; BRANCHIATA","CALATHURA BRACHIATA","CALATHURA BRACHIATA"
"SEA RAVEN","HEMITRIPTERUS AMERICANUS","HEMITRIPTERUS AMERICANUS"
"WINTER SKATE","LEUCORAJA OCELLATA","LEUCORAJA OCELLATA"
"ALEWIFE","ALOSA PSEUDOHARENGUS","ALOSA PSEUDOHARENGUS"
NA,"CAUDINA ARENATA","CAUDINA ARENATA"
"TWOHORN SCULPIN","ICELUS BICORNIS","ICELUS BICORNIS"
NA,"SCLEROCRANGON BOREAS","SCLEROCRANGON BOREAS"
"SEA CUCUMBER  COMMON","CUCUMARIA FRONDOSA","CUCUMARIA FRONDOSA"
"RUSSIAN HATS; POURTALESI","VAZELLA POURTALESII","VAZELLA POURTALESII"
NA,"LEBBEUS POLARIS","LEBBEUS POLARIS"
"LAVAL'S EELPOUT","LYCODES LAVALAEI","LYCODES LAVALAEI"
"ARCTIC STAGHORN SCULPIN","GYMNOCANTHUS TRICUSPIS","GYMNOCANTHUS TRICUSPIS"
"HADDOCK","MELANOGRAMMUS AEGLEFINUS","MELANOGRAMMUS AEGLEFINUS"
"SARSI","OPHIURA SARSII","OPHIURA SARSII"
NA,"BOLOCERA","BOLOCERA"
NA,"ATLANTOPANDALUS PROPINQVUS","ATLANTOPANDALUS PROPINQVUS"
"SEA PEACH","HALOCYNTHIA PYRIFORMIS","HALOCYNTHIA PYRIFORMIS"
NA,"HORMATHIA","HORMATHIA"
"LEMONWEED","FLUSTRA FOLIACEA","FLUSTRA FOLIACEA"
"POLLOCK","POLLACHIUS VIRENS","POLLACHIUS VIRENS"
"EELPOUT,NEWFOUNDLAND; INCL LYCODES ATLANTICUS; TERRAENOVA","LYCODES TERRAENOVAE","LYCODES TERRAENOVAE"
"NORTHERN HAGFISH; GLUTINOSA","MYXINE LIMOSA","MYXINE LIMOSA"
